"","year","site","plot","Genus_Species","aerial_cover","Common.Name","Native_Introduced","Functional_Group","Annual_Perennial"
"1",2018,"FK","30","Aristida.purpurea",3,"purple threeawn","N","C4","P"
"2",2018,"FK","36","Aristida.purpurea",3,"purple threeawn","N","C4","P"
"3",2018,"FK","16","Bouteloua.gracilis",5,"blue grama","N","C4","P"
"4",2018,"FK","54","Bouteloua.gracilis",2,"blue grama","N","C4","P"
"5",2018,"FK","52","Bouteloua.gracilis",0.5,"blue grama","N","C4","P"
"6",2018,"FK","50","Bouteloua.gracilis",1,"blue grama","N","C4","P"
"7",2018,"FK","49","Bouteloua.gracilis",0.5,"blue grama","N","C4","P"
"8",2018,"FK","34","Bouteloua.gracilis",6,"blue grama","N","C4","P"
"9",2018,"FK","32","Bouteloua.gracilis",7,"blue grama","N","C4","P"
"10",2018,"FK","21","Bouteloua.gracilis",1,"blue grama","N","C4","P"
"11",2018,"FK","25","Bouteloua.gracilis",2,"blue grama","N","C4","P"
"12",2018,"FK","51","Bouteloua.gracilis",1,"blue grama","N","C4","P"
"13",2018,"FK","53","Bouteloua.gracilis",0.5,"blue grama","N","C4","P"
"14",2018,"FK","47","Bouteloua.gracilis",0.5,"blue grama","N","C4","P"
"15",2018,"FK","45","Bouteloua.gracilis",0.5,"blue grama","N","C4","P"
"16",2018,"FK","41","Bouteloua.gracilis",1,"blue grama","N","C4","P"
"17",2018,"FK","42","Bouteloua.gracilis",0.5,"blue grama","N","C4","P"
"18",2018,"FK","39","Bouteloua.gracilis",1,"blue grama","N","C4","P"
"19",2018,"FK","27","Bouteloua.gracilis",3,"blue grama","N","C4","P"
"20",2018,"FK","5","Bouteloua.gracilis",2,"blue grama","N","C4","P"
"21",2018,"FK","15","Bouteloua.gracilis",1,"blue grama","N","C4","P"
"22",2018,"FK","26","Bouteloua.gracilis",7,"blue grama","N","C4","P"
"23",2018,"FK","30","Bouteloua.gracilis",2,"blue grama","N","C4","P"
"24",2018,"FK","13","Bouteloua.gracilis",2,"blue grama","N","C4","P"
"25",2018,"FK","17","Bouteloua.gracilis",12,"blue grama","N","C4","P"
"26",2018,"FK","43","Bouteloua.gracilis",0.5,"blue grama","N","C4","P"
"27",2018,"FK","44","Bouteloua.gracilis",4,"blue grama","N","C4","P"
"28",2018,"FK","46","Bouteloua.gracilis",1,"blue grama","N","C4","P"
"29",2018,"FK","48","Bouteloua.gracilis",1,"blue grama","N","C4","P"
"30",2018,"FK","37","Bouteloua.gracilis",0.5,"blue grama","N","C4","P"
"31",2018,"FK","38","Bouteloua.gracilis",0.5,"blue grama","N","C4","P"
"32",2018,"FK","36","Bouteloua.gracilis",3,"blue grama","N","C4","P"
"33",2018,"FK","35","Bouteloua.gracilis",5,"blue grama","N","C4","P"
"34",2018,"FK","29","Bouteloua.gracilis",6,"blue grama","N","C4","P"
"35",2018,"FK","1","Bouteloua.gracilis",1,"blue grama","N","C4","P"
"36",2018,"FK","14","Bouteloua.gracilis",10,"blue grama","N","C4","P"
"37",2018,"FK","33","Bouteloua.gracilis",1,"blue grama","N","C4","P"
"38",2018,"FK","23","Bouteloua.gracilis",0.5,"blue grama","N","C4","P"
"39",2018,"FK","24","Bouteloua.gracilis",1,"blue grama","N","C4","P"
"40",2018,"FK","31","Bouteloua.gracilis",0.5,"blue grama","N","C4","P"
"41",2018,"FK","20","Bouteloua.gracilis",4,"blue grama","N","C4","P"
"42",2018,"FK","28","Bouteloua.gracilis",2,"blue grama","N","C4","P"
"43",2018,"FK","16","Bromus.tectorum",35,"cheatgrass","I","Brome","A"
"44",2018,"FK","50","Bromus.tectorum",0.5,"cheatgrass","I","Brome","A"
"45",2018,"FK","49","Bromus.tectorum",2,"cheatgrass","I","Brome","A"
"46",2018,"FK","32","Bromus.tectorum",0.5,"cheatgrass","I","Brome","A"
"47",2018,"FK","25","Bromus.tectorum",3,"cheatgrass","I","Brome","A"
"48",2018,"FK","45","Bromus.tectorum",40,"cheatgrass","I","Brome","A"
"49",2018,"FK","40","Bromus.tectorum",50,"cheatgrass","I","Brome","A"
"50",2018,"FK","15","Bromus.tectorum",0.5,"cheatgrass","I","Brome","A"
"51",2018,"FK","2","Bromus.tectorum",55,"cheatgrass","I","Brome","A"
"52",2018,"FK","6","Bromus.tectorum",3,"cheatgrass","I","Brome","A"
"53",2018,"FK","17","Bromus.tectorum",65,"cheatgrass","I","Brome","A"
"54",2018,"FK","43","Bromus.tectorum",2,"cheatgrass","I","Brome","A"
"55",2018,"FK","44","Bromus.tectorum",0.5,"cheatgrass","I","Brome","A"
"56",2018,"FK","37","Bromus.tectorum",3,"cheatgrass","I","Brome","A"
"57",2018,"FK","1","Bromus.tectorum",0.5,"cheatgrass","I","Brome","A"
"58",2018,"FK","3","Bromus.tectorum",0.5,"cheatgrass","I","Brome","A"
"59",2018,"FK","14","Bromus.tectorum",0.5,"cheatgrass","I","Brome","A"
"60",2018,"FK","22","Bromus.tectorum",3,"cheatgrass","I","Brome","A"
"61",2018,"FK","20","Bromus.tectorum",45,"cheatgrass","I","Brome","A"
"62",2018,"FK","28","Bromus.tectorum",3,"cheatgrass","I","Brome","A"
"63",2018,"FK","18","Bromus.tectorum",50,"cheatgrass","I","Brome","A"
"64",2018,"FK","16","Hesperostipa.comata",6,"needle and thread","N","C3","P"
"65",2018,"FK","54","Hesperostipa.comata",20,"needle and thread","N","C3","P"
"66",2018,"FK","52","Hesperostipa.comata",25,"needle and thread","N","C3","P"
"67",2018,"FK","50","Hesperostipa.comata",15,"needle and thread","N","C3","P"
"68",2018,"FK","49","Hesperostipa.comata",8,"needle and thread","N","C3","P"
"69",2018,"FK","34","Hesperostipa.comata",10,"needle and thread","N","C3","P"
"70",2018,"FK","32","Hesperostipa.comata",2,"needle and thread","N","C3","P"
"71",2018,"FK","21","Hesperostipa.comata",15,"needle and thread","N","C3","P"
"72",2018,"FK","25","Hesperostipa.comata",8,"needle and thread","N","C3","P"
"73",2018,"FK","51","Hesperostipa.comata",18,"needle and thread","N","C3","P"
