site,genus_species,species_code,block,plant,percent_green,initial_growth,leaves,flower_heads,open_flowers,pollen_release,fruits,ripe_fruits,seed_drop,emerging_leaves,developed_leaves,height_cm,scenesced_leaves,biomass_mg,leaf_thickness_mm,leaf_area_cm,wet_weight_g,leaf_mg,comments,,
FK,Aristida_purpurea,arpu,1,1,97,n,y,n,n,n,n,n,n,1,3,8.9,0,18.02,0.11,,0.0001,2.421,,,
FK,Aristida_purpurea,arpu,1,2,99,n,y,n,n,n,n,n,n,1,2,10.4,0,15.93,0.13,0.182,0.008,3.853,,,
FK,Aristida_purpurea,arpu,1,3,95,n,y,n,n,n,n,n,n,1,2,12.7,1,14.195,0.14,,0.007,3.455,,,
FK,Aristida_purpurea,arpu,2,1,75,n,y,n,n,n,n,n,n,1,1,17.1,2,39.86,0.24,0.995,0.028,10.39,,,
FK,Aristida_purpurea,arpu,2,2,96,n,y,n,n,n,n,n,n,1,2,11.8,1,15.14,0.13,,0.0001,1.86,,,
FK,Aristida_purpurea,arpu,2,3,60,n,y,n,n,n,n,n,n,1,1,17.2,1,22.51,0.19,,0.025,12.19,,,
FK,Aristida_purpurea,arpu,3,1,98,n,y,n,n,n,n,n,n,1,3,13.8,0,20.2,0.13,0.502,0.01,3.84,,,
FK,Aristida_purpurea,arpu,3,2,97,n,y,n,n,n,n,n,n,0,3,8.6,0,7.94,0.16,,0.006,4.13,,,
FK,Aristida_purpurea,arpu,3,3,100,n,y,y,n,n,y,n,n,0,2,19.5,0,14.19,0.17,0.121,0.0001,1.73,,,
FK,Bromus_arvensis,brar,1,1,0,n,y,y,n,n,y,n,n,0,0,10,2,10.418,999,999,999,,leaf = dry weight,,
FK,Bromus_arvensis,brar,1,2,0,n,y,y,n,n,y,n,n,0,0,7.5,4,6.425,999,999,999,no leaf,,,
FK,Bromus_arvensis,brar,1,3,0,n,y,n,n,n,y,n,n,0,0,8.6,4,6.523,999,999,999,,,,
FK,Bromus_arvensis,brar,2,1,80,n,y,y,n,n,y,n,n,0,0,11.1,3,6.8,999,999,999,,,,
FK,Bromus_arvensis,brar,2,2,40,n,y,y,n,n,y,n,n,3,0,30.1,0,59.38,0.12,,0.0001,1.32,,,
FK,Bromus_arvensis,brar,2,3,0,n,y,n,n,n,y,y,n,0,0,21.5,4,39.1,999,999,999,,,,
FK,Bromus_arvensis,brar,3,1,60,n,y,y,n,n,y,n,n,0,0,18.3,4,46.8,0.04,0.13,0.001,0.34,,,
FK,Bromus_arvensis,brar,3,2,95,n,y,y,n,n,y,n,n,0,0,23.7,3,32.11,0.09,0.13,0.001,0.88,,,
FK,Bromus_arvensis,brar,3,3,95,n,y,y,n,n,y,n,n,0,0,28.5,6,92.58,0.12,0.567,0.009,2.91,,,
FK,Bromus_tectorum,brte,1,1,0,n,y,y,n,n,y,y,n,0,0,21,3,26.024,999,999,999,10.7,999 = no leaf,,
FK,Bromus_tectorum,brte,1,2,0,n,y,y,n,n,y,y,y,0,0,20.2,4,22.748,999,999,999,2.8,,,
FK,Bromus_tectorum,brte,1,3,0,n,y,n,n,n,y,y,n,0,0,13.1,4,32,999,999,999,7.2,,,
FK,Bromus_tectorum,brte,2,1,0,n,y,y,n,n,y,y,y,0,0,41.3,5,235.6,999,999,999,,,,
FK,Bromus_tectorum,brte,2,2,0,n,y,y,n,n,y,y,y,0,0,23.4,4,121.81,999,999,999,,,,
FK,Bromus_tectorum,brte,2,3,0,n,y,y,n,n,y,y,n,0,0,18.5,4,16.62,999,999,999,,,,
FK,Bromus_tectorum,brte,3,1,25,n,y,y,y,n,n,n,y,0,0,22.5,4,19.04,999,999,999,no leaf,,,
FK,Bromus_tectorum,brte,3,2,25,n,y,y,y,n,y,n,n,0,0,30.2,4,104.21,999,999,999,no leaf,,,
FK,Bromus_tectorum,brte,3,3,85,n,y,y,y,y,n,n,n,0,0,30.2,4,83.14,999,999,999,no leaf,,,
FK,Hesperostipa_comata,heco,1,1,75,n,y,n,n,n,n,n,n,0,2,17.9,2,23.264,0.17,0.878,0.031,15.463,<0.001 == 0.0001,,
FK,Hesperostipa_comata,heco,1,2,85,n,y,n,n,n,n,n,n,1,2,10.5,0,19.939,0.21,1.273,0.027,13.544,,,
FK,Hesperostipa_comata,heco,1,3,90,n,y,n,n,n,n,n,n,1,2,22.5,1,31.931,0.24,2.92,0.08,39.672,,,
FK,Hesperostipa_comata,heco,2,1,95,n,y,n,n,n,n,n,n,1,1,20.1,3,54.34,0.21,,0.028,11.7,,,
FK,Hesperostipa_comata,heco,2,2,85,n,y,n,n,n,n,n,n,1,1,21.9,1,29.67,0.25,,0.053,28.91,,,
FK,Hesperostipa_comata,heco,2,3,90,n,y,n,n,n,n,n,n,2,1,19.1,0,21.45,0.21,,0.045,23.92,,,
FK,Hesperostipa_comata,heco,3,1,98,n,y,n,n,n,n,n,n,1,2,8.5,0,24.4,0.34,0.849,0.032,17.52,,,
