site,genus_species,species_code,block,plant,percent_green,initial_growth,leaves,flower_heads,open_ flowers,pollen_release,fruits,ripe_fruits,seed_drop,emerging_leaves,developed_leaves,scenesced_leaves,height_cm,date,observer,comments
FK,Bromus_arvensis,BRAR,1,1,0,n,y,y,y,y,n,n,y,0,0,8,16.3,7/5/20,MF_KB,
FK,Bromus_arvensis,BRAR,1,2,0,n,y,y,y,y,n,n,y,0,0,4,19.4,7/5/20,MF_KB,
FK,Bromus_arvensis,BRAR,1,3,0,n,y,y,y,y,n,n,y,0,0,3,25.1,7/5/20,MF_KB,
FK,Hesperostipa_comata,HECO,1,1,90,n,y,y,y,y,n,n,y,0,3,0,39.7,7/5/20,MF_KB,
FK,Hesperostipa_comata,HECO,1,2,90,n,y,y,y,y,n,n,y,0,2,0,33,7/5/20,MF_KB,
FK,Hesperostipa_comata,HECO,1,3,75,n,y,y,y,y,n,n,y,1,1,3,36.6,7/5/20,MF_KB,
FK,Koleleria_macrantha,KOMA,1,1,85,n,y,y,y,y,n,n,y,0,3,0,30,7/5/20,MF_KB,
FK,Koleleria_macrantha,KOMA,1,2,70,n,y,n,n,n,n,n,n,0,2,0,30,7/5/20,MF_KB,
FK,Koleleria_macrantha,KOMA,1,3,90,n,y,y,y,y,n,n,y,0,2,0,35.7,7/5/20,MF_KB,
FK,Sphaeralcea_coccinea,SPCO,1,1,99,n,y,n,n,n,n,n,n,2,6,0,12.2,7/5/20,MF_KB,Post snake attack
FK,Sphaeralcea_coccinea,SPCO,1,2,97,n,y,n,n,n,n,n,n,1,5,1,8,7/5/20,MF_KB,
FK,Sphaeralcea_coccinea,SPCO,1,3,96,n,y,n,n,n,n,n,n,1,8,0,9.9,7/5/20,MF_KB,
FK,Tragapogon_dubius,TRDU,1,1,75,n,y,y,y,y,n,n,y,1,5,7,27.9,7/5/20,MF_KB,
FK,Tragapogon_dubius,TRDU,1,2,60,n,y,y,y,y,n,n,y,7,10,25,41.2,7/5/20,MF_KB,
FK,Tragapogon_dubius,TRDU,1,3,15,n,y,y,y,y,n,n,y,1,7,12,31.4,7/5/20,MF_KB,
FK,Bromus_arvensis,BRAR,2,1,0,n,y,y,y,y,n,n,y,0,0,4,18.5,7/5/20,MF_KB,Had to pick dead ones
FK,Bromus_arvensis,BRAR,2,2,0,n,y,y,y,y,n,n,y,0,0,4,34.6,7/5/20,MF_KB,
FK,Bromus_arvensis,BRAR,2,3,0,n,y,y,y,y,n,n,y,0,0,4,14.4,7/5/20,MF_KB,
FK,Hesperostipa_comata,HECO,2,1,98,n,y,n,n,n,n,n,n,1,2,1,19.6,7/5/20,MF_KB,
FK,Hesperostipa_comata,HECO,2,2,75,n,y,y,y,y,n,n,y,0,2,1,27,7/5/20,MF_KB,
FK,Hesperostipa_comata,HECO,2,3,90,n,y,y,y,y,n,n,n,0,2,0,16.5,7/5/20,MF_KB,
FK,Koleleria_macrantha,KOMA,2,1,40,n,y,y,y,y,n,n,y,0,3,0,36.1,7/5/20,MF_KB,
FK,Koleleria_macrantha,KOMA,2,2,85,n,y,y,y,y,n,n,y,1,3,0,21.6,7/5/20,MF_KB,
FK,Koleleria_macrantha,KOMA,2,3,90,n,y,y,y,y,n,n,y,0,3,0,37.9,7/5/20,MF_KB,
FK,Sphaeralcea_coccinea,SPCO,2,1,99,n,y,n,n,n,n,n,n,2,14,0,16.1,7/5/20,MF_KB,
FK,Sphaeralcea_coccinea,SPCO,2,2,95,n,y,n,n,n,n,n,n,0,4,0,6.3,7/5/20,MF_KB,
FK,Sphaeralcea_coccinea,SPCO,2,3,98,n,y,n,n,n,n,n,n,3,6,0,6.2,7/5/20,MF_KB,
FK,Tragapogon_dubius,TRDU,2,1,20,n,y,y,y,y,n,n,y,0,5,10,31,7/5/20,MF_KB,
FK,Tragapogon_dubius,TRDU,2,2,80,n,y,y,y,y,n,n,y,9,13,7,30.1,7/5/20,MF_KB,
FK,Tragapogon_dubius,TRDU,2,3,65,n,y,y,y,y,n,n,y,3,12,16,27,7/5/20,MF_KB,
FK,Bromus_arvensis,BRAR,3,1,0,n,y,y,y,y,n,n,y,0,0,4,19,7/5/20,MF_KB,
FK,Bromus_arvensis,BRAR,3,2,0,n,y,y,y,y,n,n,n,0,0,5,19.2,7/5/20,MF_KB,
