site,block,paddock,genus_species,species_code,leaf_thickness_(mm),wet_leaf_weight_g,date,personelle,season,comments
TB,2,HG,Vulpia_octoflora,VUOC,0.03,0.0002,5/29/2022,KB_KVL,early,
FK,1,HG,Lepidium_densiflorum,LEDE,0.032,0.0002,6/1/2022,KB_KVL,early,
FK,3,MG,Lepidium_densiflorum,LEDE,0.024,0.0002,6/1/2022,KB_KVL,early,
FK,1,MG,Vulpia_octoflora,VUOC,0.032,0.0003,5/30/2022,KB_KVL,early,
FK,2,HG,Vulpia_octoflora,VUOC,0.03,0.0003,6/1/2022,KB_KVL,early,
FK,3,LG,Androsace_ occidentalis,ANOC,0.032,0.0003,6/1/2022,KB_KVL,early,
FK,3,LG,Lepidium_densiflorum,LEDE,0.03,0.0004,6/1/2022,KB_KVL,early,
TB,1,MG,Artemisia_frigida,ARFR,0.039,0.0004,6/30/2022,KB_AY,late,
FK,1,HG,Artemisia_frigida,ARFR,0.029,0.0004,7/2/2022,KB_MF,late,
TB,1,MG,Vulpia_octoflora,VUOC,0.034,0.0005,5/28/2022,KB_KVL,early,
TB,1,HG,Vulpia_octoflora,VUOC,0.027,0.0005,5/28/2022,KB_KVL,early,
FK,1,MG,Androsace_ occidentalis,ANOC,0.039,0.0005,5/30/2022,KB_KVL,early,
FK,1,HG,Logfia_arvensis,LOAR,0.027,0.0005,6/1/2022,KB_KVL,early,
TB,2,MG,Vulpia_octoflora,VUOC,0.037,0.0006,5/28/2022,KB_KVL,early,
TB,2,HG,Phlox_hoodia,PHHO,0.035,0.0006,5/29/2022,KB_KVL,early,
TB,3,LG,Vulpia_octoflora,VUOC,0.035,0.0006,5/29/2022,KB_KVL,early,from B2LG bag that had 3 in it - no other traits 
TB,3,MG,Vulpia_octoflora,VUOC,0.033,0.0006,5/29/2022,KB_KVL,early,
FK,2,MG,Androsace_ occidentalis,ANOC,0.067,0.0006,6/1/2022,KB_KVL,early,
FK,3,LG,Vulpia_octoflora,VUOC,0.03,0.0006,6/1/2022,KB_KVL,early,
TB,2,HG,Lepidium_densiflorum,LEDE,0.03,0.0007,5/28/2022,KB_KVL,early,
TB,3,MG,Alyssum_desetorum,ALDE,0.034,0.0007,5/29/2022,KB_KVL,early,
TB,3,MG,Phlox_hoodia,PHHO,0.037,0.0007,5/29/2022,KB_KVL,early,
TB,3,HG,Bromus_tectorum,BRTE,0.029,0.0007,5/29/2022,KB_KVL,early,
FK,1,MG,Lepidium_densiflorum,LEDE,0.028,0.0007,5/30/2022,KB_KVL,early,
FK,1,HG,Androsace_ occidentalis,ANOC,0.032,0.0007,5/30/2022,KB_KVL,early,
FK,2,LG,Androsace_ occidentalis,ANOC,0.042,0.0007,6/1/2022,KB_KVL,early,
FK,2,MG,Vulpia_octoflora,VUOC,0.033,0.0007,6/1/2022,KB_KVL,early,
FK,3,MG,Hedeoma_hispida,HEHI,0.034,0.0007,6/1/2022,KB_KVL,early,
TB,3,LG,Phlox_hoodia,PHHO,0.046,0.0008,5/29/2022,KB_KVL,early,
TB,3,HG,Phlox_hoodia,PHHO,0.038,0.0008,5/29/2022,KB_KVL,early,
FK,2,LG,Logfia_arvensis,LOAR,0.052,0.0008,6/1/2022,KB_KVL,early,"on scanned sheet, LOAR is under B1HG ROSE on scanned sheet"
FK,3,MG,Vulpia_octoflora,VUOC,0.024,0.0008,6/1/2022,KB_KVL,early,
TB,3,LG,Logfia_arvensis,LOAR,0.033,0.0009,5/29/2022,KB_KVL,early,
FK,2,HG,Androsace_ occidentalis,ANOC,0.046,0.0009,6/1/2022,KB_KVL,early,
TB,1,LG,Artemisia_frigida,ARFR,0.017,0.0009,6/30/2022,KB_AY,late,
TB,1,LG,Alyssum_desetorum,ALDE,0.034,0.001,5/28/2022,KB_KVL,early,
TB,2,LG,Eremogone_hookeri,ERHO,0.031,0.001,5/28/2022,KB_KVL,early,
FK,1,LG,Logfia_arvensis,LOAR,0.037,0.001,5/30/2022,KB_KVL,early,
FK,3,LG,Hedeoma_hispida,HEHI,0.033,0.001,6/1/2022,KB_KVL,early,
FK,3,HG,Androsace_ occidentalis,ANOC,0.04,0.001,6/1/2022,KB_KVL,early,
FK,2,LG,Artemisia_frigida,ARFR,0.028,0.001,7/2/2022,KB_MF,late,
TB,1,LG,Lepidium_densiflorum,LEDE,0.039,0.0011,5/28/2022,KB_KVL,early,
TB,2,MG,Alyssum_desetorum,ALDE,0.036,0.0011,5/28/2022,KB_KVL,early,add 0.0012 to total biomass (wet) 
FK,1,LG,Androsace_ occidentalis,ANOC,0.044,0.0011,5/30/2022,KB_KVL,early,
FK,1,LG,Lepidium_densiflorum,LEDE,0.034,0.0011,5/30/2022,KB_KVL,early,
FK,2,LG,Lepidium_densiflorum,LEDE,0.028,0.0011,6/1/2022,KB_KVL,early,
FK,2,MG,Logfia_arvensis,LOAR,0.032,0.0011,6/1/2022,KB_KVL,early,
FK,2,HG,Hedeoma_hispida,HEHI,0.034,0.0011,6/1/2022,KB_KVL,early,
FK,2,HG,Lepidium_densiflorum,LEDE,0.036,0.0011,6/1/2022,KB_KVL,early,
TB,1,LG,Vulpia_octoflora,VUOC,0.023,0.0012,5/28/2022,KB_KVL,early,
FK,1,LG,Vulpia_octoflora,VUOC,0.034,0.0012,5/30/2022,KB_KVL,early,
FK,1,MG,Hedeoma_hispida,HEHI,0.032,0.0012,5/30/2022,KB_KVL,early,no leaf in leaf bag - check others
FK,1,HG,Vulpia_octoflora,VUOC,0.045,0.0012,6/1/2022,KB_KVL,early,
FK,3,HG,Logfia_arvensis,LOAR,0.036,0.0012,6/2/2022,KB_KVL,early,
TB,1,HG,Alyssum_desetorum,ALDE,0.042,0.0013,5/28/2022,KB_KVL,early,
TB,1,HG,Phlox_hoodia,PHHO,0.032,0.0013,5/28/2022,KB_KVL,early,
TB,2,LG,Descurainia_pinnata,DEPI,0.066,0.0013,5/28/2022,KB_KVL,early,
TB,2,LG,Vulpia_octoflora,VUOC,0.04,0.0013,5/28/2022,KB_KVL,early,
FK,3,MG,Logfia_arvensis,LOAR,0.048,0.0013,6/1/2022,KB_KVL,early,
FK,3,HG,Vulpia_octoflora,VUOC,0.037,0.0013,6/2/2022,KB_KVL,early,
FK,1,MG,Logfia_arvensis,LOAR,0.042,0.0014,5/30/2022,KB_KVL,early,
FK,2,MG,Hedeoma_hispida,HEHI,0.024,0.0014,6/1/2022,KB_KVL,early,
TB,2,HG,Artemisia_frigida,ARFR,0.032,0.0014,6/30/2022,KB_AY,late,
FK,1,LG,Artemisia_frigida,ARFR,0.027,0.0014,7/2/2022,KB_MF,late,
FK,1,MG,Aristida_purpurea,ARPU,0.018,0.0014,7/2/2022,KB_MF,late,
TB,3,HG,Artemisia_frigida,ARFR,0.052,0.00141,6/30/2022,KB_AY,late,
TB,1,LG,Eremogone_hookeri,ERHO,0.045,0.0015,5/28/2022,KB_KVL,early,
TB,1,LG,Logfia_arvensis,LOAR,0.03,0.0015,5/28/2022,KB_KVL,early,
FK,1,HG,Alyssum_desetorum,ALDE,0.04,0.0015,5/30/2022,KB_KVL,early,
FK,2,HG,Logfia_arvensis,LOAR,0.038,0.0015,6/1/2022,KB_KVL,early,
FK,3,MG,Androsace_ occidentalis,ANOC,0.033,0.0015,6/1/2022,KB_KVL,early,
FK,3,HG,Hedeoma_hispida,HEHI,0.028,0.0015,6/2/2022,KB_KVL,early,
TB,2,LG,Artemisia_frigida,ARFR,0.03,0.0015,6/30/2022,KB_AY,late,
FK,2,MG,Artemisia_frigida,ARFR,0.038,0.0015,7/2/2022,KB_MF,late,
TB,1,LG,Descurainia_pinnata,DEPI,0.025,0.0016,5/28/2022,KB_KVL,early,
TB,1,MG,Alyssum_desetorum,ALDE,0.034,0.0016,5/28/2022,KB_KVL,early,
TB,2,LG,Phlox_hoodia,PHHO,0.028,0.0016,5/28/2022,KB_KVL,early,
TB,3,HG,Alyssum_desetorum,ALDE,0.048,0.0016,5/29/2022,KB_KVL,early,
FK,1,LG,Hedeoma_hispida,HEHI,0.037,0.0016,5/30/2022,KB_KVL,early,
TB,1,MG,Eremogone_hookeri,ERHO,0.041,0.0017,5/28/2022,KB_KVL,early,
FK,2,LG,Vulpia_octoflora,VUOC,0.037,0.0017,6/1/2022,KB_KVL,early,
TB,1,HG,Artemisia_frigida,ARFR,0.035,0.0017,6/30/2022,KB_AY,late,
TB,2,MG,Artemisia_frigida,ARFR,0.036,0.0017,6/30/2022,KB_AY,late,
TB,2,MG,Eremogone_hookeri,ERHO,0.043,0.0018,5/28/2022,KB_KVL,early,
FK,1,HG,Hedeoma_hispida,HEHI,0.037,0.0018,6/1/2022,KB_KVL,early,maybe KOMA?
FK,2,LG,Hedeoma_hispida,HEHI,0.047,0.0018,6/1/2022,KB_KVL,early,
FK,2,HG,Artemisia_frigida,ARFR,0.037,0.0018,7/2/2022,KB_MF,late,
FK,3,MG,Artemisia_frigida,ARFR,0.033,0.0018,7/2/2022,KB_MF,late,
TB,1,LG,Phlox_hoodia,PHHO,0.048,0.0019,5/28/2022,KB_KVL,early,
TB,1,MG,Descurainia_pinnata,DEPI,0.034,0.0019,5/28/2022,KB_KVL,early,
FK,2,HG,Bromus_arvensis,BRAR,0.037,0.0019,6/1/2022,KB_KVL,early,
FK,3,HG,Bromus_tectorum,BRTE,0.038,0.0019,6/1/2022,KB_KVL,early,
FK,3,HG,Poa_secunda,POSE,0.036,0.00198,6/2/2022,KB_KVL,early,
TB,1,LG,Hedeoma_hispida,HEHI,0.055,0.002,5/28/2022,KB_KVL,early,
TB,2,HG,Eremogone_hookeri,ERHO,0.048,0.002,5/28/2022,KB_KVL,early,
TB,3,LG,Alyssum_desetorum,ALDE,0.055,0.002,5/29/2022,KB_KVL,early,
TB,3,LG,Draba_reptans,DRRE,0.062,0.002,5/29/2022,KB_KVL,early,
TB,3,HG,Draba_reptans,DRRE,0.045,0.002,5/29/2022,KB_KVL,early,
FK,3,MG,Bromus_arvensis,BRAR,0.051,0.002,6/1/2022,KB_KVL,early,
FK,2,HG,Bromus_tectorum,BRTE,0.038,0.0021,6/1/2022,KB_KVL,early,
FK,3,HG,Artemisia_frigida,ARFR,0.031,0.0021,7/2/2022,KB_MF,late,
TB,2,MG,Bromus_tectorum,BRTE,0.026,0.0022,5/28/2022,KB_KVL,early,
TB,2,MG,Lithospermum_incisum,LIIN,0.045,0.0022,5/28/2022,KB_KVL,early,
TB,3,HG,Collomia_linearis,COLI,,0.0022,5/29/2022,KB_KVL,early,
TB,3,HG,Descurainia_pinnata,DEPI,0.041,0.0022,5/29/2022,KB_KVL,early,
TB,2,MG,Draba_reptans,DRRE,0.041,0.0023,5/28/2022,KB_KVL,early,
TB,1,MG,Lepidium_densiflorum,LEDE,0.037,0.0024,5/28/2022,KB_KVL,early,
FK,3,MG,Aristida_purpurea,ARPU,0.016,0.0026,7/2/2022,KB_MF,late,
TB,3,MG,Descurainia_pinnata,DEPI,0.057,0.0027,5/29/2022,KB_KVL,early,
TB,1,HG,Eremogone_hookeri,ERHO,0.046,0.0028,5/28/2022,KB_KVL,early,
FK,1,MG,Artemisia_frigida,ARFR,0.029,0.0028,7/2/2022,KB_MF,late,
TB,2,HG,Collomia_linearis,COLI,0.053,0.0029,5/28/2022,KB_KVL,early,
FK,3,HG,Bromus_arvensis,BRAR,0.028,0.003,6/1/2022,KB_KVL,early,
FK,3,LG,Artemisia_frigida,ARFR,0.037,0.003,7/2/2022,KB_MF,late,
TB,2,LG,Alyssum_desetorum,ALDE,0.036,0.0031,5/28/2022,KB_KVL,early,
TB,3,MG,Plantago_patagonica,PLPA,0.03,0.0031,5/29/2022,KB_KVL,early,
FK,1,LG,Alyssum_desetorum,ALDE,0.044,0.0031,5/30/2022,KB_KVL,early,
TB,1,MG,Phlox_hoodia,PHHO,0.059,0.0032,5/28/2022,KB_KVL,early,
FK,2,LG,Alyssum_desetorum,ALDE,0.033,0.0033,6/1/2022,KB_KVL,early,
TB,2,HG,Alyssum_desetorum,ALDE,0.063,0.0034,5/28/2022,KB_KVL,early,
TB,3,LG,Plantago_patagonica,PLPA,0.046,0.0034,5/29/2022,KB_KVL,early,
TB,3,HG,Hedeoma_hispida,HEHI,0.043,0.0034,5/29/2022,KB_KVL,early,
FK,2,HG,Alyssum_desetorum,ALDE,0.042,0.0034,6/1/2022,KB_KVL,early,
FK,1,MG,Alyssum_desetorum,ALDE,0.041,0.0035,5/30/2022,KB_KVL,early,
TB,1,HG,Hedeoma_hispida,HEHI,0.036,0.0036,5/28/2022,KB_KVL,early,
TB,2,LG,Hedeoma_hispida,HEHI,0.034,0.0036,5/28/2022,KB_KVL,early,
TB,3,HG,Logfia_arvensis,LOAR,0.033,0.0036,5/29/2022,KB_KVL,early,
FK,3,MG,Alyssum_desetorum,ALDE,0.041,0.0036,6/1/2022,KB_KVL,early,
FK,3,HG,Aristida_purpurea,ARPU,0.021,0.0036,7/2/2022,KB_MF,late,
TB,1,MG,Collomia_linearis,COLI,0.037,0.0037,5/28/2022,KB_KVL,early,
TB,3,MG,Eremogone_hookeri,ERHO,0.052,0.0037,5/29/2022,KB_KVL,early,
FK,3,MG,Bromus_tectorum,BRTE,0.034,0.0037,6/1/2022,KB_KVL,early,
TB,1,MG,Antennaria_parvifolia,ANPA,0.033,0.0038,5/28/2022,KB_KVL,early,
TB,3,LG,Descurainia_pinnata,DEPI,0.049,0.0038,5/29/2022,KB_KVL,early,
TB,3,LG,Eremogone_hookeri,ERHO,0.052,0.0038,5/29/2022,KB_KVL,early,
FK,3,LG,Logfia_arvensis,LOAR,0.052,0.0038,6/1/2022,KB_KVL,early,
TB,3,HG,Eremogone_hookeri,ERHO,0.047,0.0039,5/29/2022,KB_KVL,early,
TB,1,HG,Lepidium_densiflorum,LEDE,0.032,0.004,5/28/2022,KB_KVL,early,
TB,1,HG,Draba_reptans,DRRE,0.045,0.0041,5/28/2022,KB_KVL,early,
TB,3,MG,Logfia_arvensis,LOAR,0.045,0.0041,5/29/2022,KB_KVL,early,
FK,3,HG,Lepidium_densiflorum,LEDE,0.039,0.0041,6/2/2022,KB_KVL,early,
TB,2,MG,Picradeniopsis_ oppositifolia,PIOP,0.037,0.0042,5/28/2022,KB_KVL,early,
