"Site","DxG_block","paddock","genus_species","species_code","height_cm","emerging_leaves","developed_leaves","scenesced_leaves","flower_heads","open_flowers","percent_green","lifespan","growth_form","photosynthetic_pathway","Date","Season","people","comments","leaf_thickness_.mm.","wet_leaf_weight_g","date_lab","people_lab","comments_lab","Dry_Biomass_min_Leaf_g","Dry_Leaf_Weight_g","Total.Area","NOTES","ID"
"TB",1,"LG","Alyssum_desetorum","ALDE",7.2,5,12,0,6,0,100,"annual","forb","C3","5/24/22","Early","KB_GT_MF_KVL","",0.34,"0.001","5/28/22","KB_KVL","","0.0433","0.0003",0.06,"","ALDE_TB_1_LG"
"TB",1,"MG","Alyssum_desetorum","ALDE",8,7,22,1,5,0,95,"annual","forb","C3","5/25/22","Early","KB_GT_MF_KVL","",0.34,"0.0016","5/28/22","KB_KVL","","0.0142","1e-05",0.053,"","ALDE_TB_1_MG"
"TB",1,"HG","Alyssum_desetorum","ALDE",9.2,5,7,2,3,0,95,"annual","forb","C3","5/25/22","Early","KB_GT_MF_KVL","",0.42,"0.0013","5/28/22","KB_KVL","","0.026","0.0002",0.066,"","ALDE_TB_1_HG"
"TB",2,"LG","Alyssum_desetorum","ALDE",5.7,2,4,2,2,0,99,"annual","forb","C3","5/26/22","Early","KB_GT_MF_KVL","8 seed heads",0.36,"0.0031","5/28/22","KB_KVL","","0.0233","1e-05",0.088,"","ALDE_TB_2_LG"
"TB",2,"MG","Alyssum_desetorum","ALDE",5.2,0,3,0,0,0,100,"annual","forb","C3","5/26/22","Early","KB_GT_MF_KVL","Plant from B2 water, 4 seed heads",0.36,"0.0011","5/28/22","KB_KVL","add 0.0012 to total biomass (wet) ","0.0087",NA,0.045,"","ALDE_TB_2_MG"
"TB",2,"HG","Alyssum_desetorum","ALDE",2.4,0,22,1,4,5,97,"annual","forb","C3","5/26/22","Early","KB_GT_MF_KVL","8 seed pods",0.63,"0.0034","5/28/22","KB_KVL","","0.0870",NA,0.129,"","ALDE_TB_2_HG"
"TB",3,"LG","Alyssum_desetorum","ALDE",7.3,8,10,0,3,1,98,"annual","forb","C3","5/26/22","Early","KB_GT_MF_KVL","13 seed heads",0.55,"0.002","5/29/22","KB_KVL","","0.0333","0.0002",0.077,"","ALDE_TB_3_LG"
"TB",3,"MG","Alyssum_desetorum","ALDE",5.7,0,5,0,0,0,99,"annual","forb","C3","5/26/22","Early","KB_GT_MF_KVL","8 seed heads",0.34,"0.0007","5/29/22","KB_KVL","","0.0195","1e-05",0.03,"","ALDE_TB_3_MG"
"TB",3,"HG","Alyssum_desetorum","ALDE",3.4,6,7,0,3,1,97,"annual","forb","C3","5/26/22","Early","KB_GT_MF_KVL","7 seed pods",0.48,"0.0016","5/29/22","KB_KVL","","0.0164","1e-05",0.069,"","ALDE_TB_3_HG"
"FK",1,"LG","Alyssum_desetorum","ALDE",13.9,4,7,0,1,0,99,"annual","forb","C3","5/30/22","Early","KB_KVL","18 seed heads",0.44,"0.0031","5/30/22","KB_KVL","","0.0522","0.0005",0.152,"","ALDE_FK_1_LG"
"FK",1,"MG","Alyssum_desetorum","ALDE",10.7,7,34,1,2,0,NA,"annual","forb","C3","5/30/22","Early","KB_KVL","9 seed pods, no % green",0.41,"0.0035","5/30/22","KB_KVL","","0.058","0.0012",0.149,"","ALDE_FK_1_MG"
"FK",1,"HG","Alyssum_desetorum","ALDE",8.5,14,10,0,1,0,99,"annual","forb","C3","5/30/22","Early","KB_KVL","15 seed heads",0.4,"0.0015","5/30/22","KB_KVL","","0.0287","0.0001",0.07,"found","ALDE_FK_1_HG"
"FK",2,"LG","Alyssum_desetorum","ALDE",10,9,7,0,1,0,100,"annual","forb","C3","5/31/22","Early","KB_KVL","17 seed heads",0.33,"0.0033","6/1/22","KB_KVL","","0.054","0.0004",0.138,"found","ALDE_FK_2_LG"
"FK",2,"MG","Alyssum_desetorum","ALDE",12.2,9,11,0,3,0,98,"annual","forb","C3","5/31/22","Early","KB_KVL","48 seed pods",0.61,"0.0059","6/1/22","KB_KVL","","0.1833","0.001",0.204,"","ALDE_FK_2_MG"
"FK",2,"HG","Alyssum_desetorum","ALDE",14.9,19,14,0,2,0,100,"annual","forb","C3","5/31/22","Early","KB_KVL","45 seed pods",0.42,"0.0034","6/1/22","KB_KVL","","0.1476","0.0011",0.127,"","ALDE_FK_2_HG"
"FK",3,"LG","Alyssum_desetorum","ALDE",9.4,0,9,0,1,0,100,"annual","forb","C3","5/31/22","Early","KB_KVL","4 seed podsa",0.41,"0.0044","6/1/22","KB_KVL","","0.0204","0.0002",0.185,"","ALDE_FK_3_LG"
"FK",3,"MG","Alyssum_desetorum","ALDE",9.7,15,5,0,1,0,100,"annual","forb","C3","6/1/22","Early","KB_KVL","17 seed heads",0.41,"0.0036","6/1/22","KB_KVL","","0.0566","0.0009",NA,NA,NA
"FK",3,"HG","Alyssum_desetorum","ALDE",15.5,0,15,1,2,0,98,"annual","forb","C3","6/1/22","Early","KB_KVL","19 seed heads",0.56,"0.0053","6/1/22","KB_KVL","","0.0831","0.0011",0.206,"","ALDE_FK_3_HG"
