entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,bare,dung,lichen,litter,moss,mushroom,Opuntia pads #,Aristida purpurea,Bouteloua gracilis,Bromus tectorum,Hesperostipa comata,Koeleria macrantha,Nassella viridula,Pascopyrum smithii,Poa secunda,Vulpia octoflora,Carex duriuscula,Carex filifolia,Artemisia dracunculus,Artemisia frigida,Artemisia tridentata,Coryphantha vivipara,Gutierrezia sarothrae,Opuntia polyacantha,Allium textile,Alyssum desertorum,Draba reptans,Eremogone hookeri,Hedeoma hispida,Lepidium densiflorum,Lithospermum incisum,Logfia arvensis,Lomatium foeniculaceum,Musineon divaricatum,Oenotherea suffrutescens,Phlox hoodii,Plantago patagonica,Psoralidium tenuiflorum,Sphaeralcea coccinea,Taraxacum officinale,Tragopogon dubius,Vicia americana,Androsace occidentalis,Antennaria parvifolia,Astragalus lotiflorus,Astragalus bisulcatus,Bouteloua dactyloides,Bromus arvensis,Camelina microcarpa,Chamaesyce nutans,Cirsium canescens,Cirsium undulatum,Conyza canadensis,Collomia linearis ,Comandra umbellata,Descurainia pinnata,Descurainia sophia,Draba nemorosa,Elymus elymoides,Erigeron canus,Erigeron divergens/ochroleucus,Erigeron pumilus,Grindelia squarrosa,Lesquerella arenosa,Lesquerella ludoviciana,Leucocrinum montanum,Liatris punctata,Linum rigidum,Lygodesmia juncea,Machaeranthera canescens,Machaeranthera grindelioides,Machaeranthera pinnatifida,Nothocalais cuspidata,Nuttallanthus texanus,Oenotherea suffrutescens,Orobanche fasciculata,Penstemon albidus,Penstemon eriantherus,Pediomelum esculentum,Picradeniopsis oppositifolia,Polygonum aviculare,Scorzonera laciniata,Schedonnardus paniculatus,Sporobolus cryptandrus,Tetraneuris acaulis,Tradescantia occidentalis,Veronica peregrina,Viola nuttallii ,Zigadenus venenosus,Lupinus pusillus,STANDING DEADArtemisia tridentata,STANDING DEAD Bromus arvensis,STANDING DEAD Bromus tectorum,STANDING DEAD Logfia arvensis,STANDING DEAD Pascopyrum smithii,Penstemon sp.,CRCE/LELU/Penstemon sp,Oenothera?,Unknown #7 baby guara?,UNKN8 basal rosette lancroiati,Unk #3 Basal Rosette,Unk #3 soft point leaf KW photo,Unkn #10 small linear leaf KW photo,Cirsium sp.,Oneothera n?,Rock,Moss/Lichen/Bogr overlap,NOTES
Jill Baty,Sally Koerner,6/26/18,2018,FK,11,aerial,85,108,108,4,0,0,8,3,0,,,3,35,6,1,,0.5,0,0.5,,19,0,13,,0,,0,,,,,0.5,0.5,,0.5,,,0,,1,,8,0.5,4,,,,,,0,15,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,11,Basal,50,48,48,12,0,0,35,3,0,,,1,10,3,0.5,,0.5,0,0.5,,12,0,8,,0,,0,,,,,0.5,0.5,,0.5,,,0,,0.5,,1,0.5,1,,,,,,0,8,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,9,aerial,75,93,83,6,1,0,18,0,0,,,2,9,10,0,,2,5,0.5,,15,0,12,,0.5,,0,,,,,0.5,0,,1,,,0,,0,,3,0,2,,,,,,0,20,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,9,Basal,35,34.5,35,14,2,0,50,0,0,,,1,3,3,0,,0.5,2,0.5,,10,0,4,,0.5,,0,,,,,0.5,0,,0.5,,,0,,0,,0.5,0,0.5,,,,,,0,8,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,7,aerial,85,100,85,3,0,0.5,11,1,0,,,0.5,6,18,0,,1,0,0.5,,13,0,0,,0,,2,,,,,0,0,,14,,,1,,0.5,,0,2,1,,,,,,0,25,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Sally Koerner,6/26/18,2018,FK,7,Basal,40,35,35,15,0,0.5,41,1,0,,,0.5,1,8,0,,0.5,0,0.5,,6,0,0,,0,,1,,,,,0,0,,5,,,0.5,,0.5,,0,0.5,0.5,,,,,,0,10,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,16,Aerial,55,71,71.5,9,0,0,20,0,0,,,5,35,6,0,,0.5,0.5,0.5,0.5,0,0,12,,,,0,,,,,0.5,0.5,0.5,0.5,,,,,0.5,,3,0.5,3,,,,,,0,2,,0.5,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,16,Basal,30,29,29,12,0,0,59,0,0,,,3,10,4,0,,0.5,0.5,0.5,0.5,0,0,5,,,,0,,,,,0.5,0.5,0.5,0.5,,,,,0.5,,0.5,0.5,0.5,,,,,,0,0.5,,0.5,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,12,aerial,92,112,112,0,0,0,8,0,0.5,,,10,50,40,0,,2,0,0.5,0.5,0,0,0.5,,,,0.5,,,,,0,0,0,0.5,,,,,0.5,,3,0,1,,,,,,0,1,,0,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Jill Baty,Kim LaPierre,6/26/18,2018,FK,12,Basal,60,57,61.5,3,0,0,40,0,0.5,,,6,20,30,0,,0.5,0,0.5,0.5,0,0,0.5,,,,0.5,,,,,0,0,0,0.5,,,,,0.5,,0.5,0,0.5,,,,,,0,0.5,,0,,,,,,,,,,,,,,,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
