observers,date,site,block,plot,genus_species,symbol,aerial_cover,basal_cover,notes
KJK,7/2/19,FK,2,20,Added_Total,,101,40,
SEK,7/2/19,FK,2,24,Added_Total,,97.5,62.25,
SC_AD_KJB_SEK,7/2/19,FK,1,7,Added_Total,,90,50.5,
KJK,7/1/19,FK,3,45,Added_Total,,89,39,
KRW_KJK_SEK,7/1/19,FK,3,53,Added_Total,,88,36.5,
KJK_SC,7/3/19,FK,1,10,Added_Total,,87,40.5,2.5% of plot was clipped
KW,7/3/19,FK,1,8,Added_Total,,85,42,
KJK,7/2/19,FK,2,20,Estimated_Total,,85,40,
SEK,7/2/19,FK,2,24,Estimated_Total,,85,65,
KJK,7/1/19,FK,3,45,Estimated_Total,,85,40,
KW,7/1/19,FK,3,37,Added_Total,,83,38,
SEK,7/2/19,FK,1,1,Added_Total,,81.5,50.5,
SC_AD_KJB_SEK,7/2/19,FK,1,9,Added_Total,,80.75,41,
SEK,7/2/19,FK,1,1,Estimated_Total,,80,50,
SEK,7/2/19,FK,1,3,Added_Total,,80,53.25,
KW,7/2/19,FK,2,21,Added_Total,,80,40,
KJK_SEK_KRW,7/1/19,FK,3,51,Added_Total,,79.75,46.75,
KW,7/1/19,FK,3,46,Added_Total,,79,36.5,
SEK,7/1/19,FK,3,48,Added_Total,,78.5,52.5,
KW,7/3/19,FK,1,8,Estimated_Total,,75,40,
KJK_SC,7/3/19,FK,1,10,Estimated_Total,,75,35,2.5% of plot was clipped
SEK_KJB,7/3/19,FK,1,11,Estimated_Total,,75,40,
KW,7/1/19,FK,3,37,Estimated_Total,,75,40,
KW,7/1/19,FK,3,46,Estimated_Total,,75,35,
SEK,7/1/19,FK,3,48,Estimated_Total,,75,55,
KW,7/2/19,FK,2,23,Added_Total,,72.5,38.5,
KRW_KJK_SEK,7/1/19,FK,3,52,Added_Total,,72.5,29.75,
KW,7/3/19,FK,1,17,Added_Total,,72,25,
KW,7/1/19,FK,3,49,Added_Total,,72,37,
SEK,7/2/19,FK,2,25,Added_Total,,71.25,32.5,
KW_KJK,7/2/19,FK,2,35,Added_Total,,70.5,35.5,
SEK,7/3/19,FK,1,15,Added_Total,,70.25,39,
SEK_KJB,7/3/19,FK,1,11,Added_Total,,70,40.5,
KW,7/2/19,FK,2,21,Estimated_Total,,70,40,
KW,7/2/19,FK,2,26,Estimated_Total,,70,40,
KW,7/1/19,FK,3,49,Estimated_Total,,70,40,
KJK_SEK_KRW,7/1/19,FK,3,51,Estimated_Total,,70,45,
KRW_KJK_SEK,7/1/19,FK,3,53,Estimated_Total,,70,35,
KRW_KJK_SEK,7/1/19,FK,3,52,Estimated_Total,,70,30,
KRW_KJK_SEK,7/1/19,FK,3,39,Added_Total,,69.75,34.5,
KW_KJK,7/2/19,FK,2,33,Rock,,68,43,
KJK,7/1/19,FK,3,38,Added_Total,,67,34,
KJK,7/1/19,FK,3,40,Added_Total,,67,25,
SEK,7/2/19,FK,2,36,Added_Total,,66.75,34.25,
KW,7/2/19,FK,2,29,Added_Total,,66,36.5,
SEK,7/2/19,FK,1,5,Added_Total,,65.5,38.25,
KW,7/3/19,FK,1,18,Added_Total,,65.25,29.25,
SEK,7/2/19,FK,1,3,Estimated_Total,,65,55,
KW_KJK,7/2/19,FK,1,4,Estimated_Total,,65,28,
SC_AD_KJB_SEK,7/2/19,FK,1,7,Estimated_Total,,65,45,
SEK,7/3/19,FK,1,12,Estimated_Total,,65,30,
KW,7/3/19,FK,1,17,Estimated_Total,,65,25,
SEK,7/2/19,FK,2,19,Estimated_Total,,65,45,
KW,7/2/19,FK,2,23,Estimated_Total,,65,40,
KW_KJK,7/2/19,FK,2,35,Estimated_Total,,65,35,
KJK,7/1/19,FK,3,38,Estimated_Total,,65,35,
KW,7/1/19,FK,3,41,Added_Total,,65,31,
KJK,7/1/19,FK,3,42,Added_Total,,65,30,
SEK,7/1/19,FK,3,44,Estimated_Total,,65,45,
KW,7/2/19,FK,2,21,Bromus_arvensis,BRAR,65,35,
SEK,7/2/19,FK,2,24,Bromus_arvensis,BRAR,65,42,
KW,7/1/19,FK,3,46,Bromus_arvensis,BRAR,65,30,
SEK,7/2/19,FK,2,19,Added_Total,,64.5,42.5,
KJK_SEK_KRW,7/1/19,FK,3,54,Added_Total,,64.25,31.5,forage quality in plot
SEK,7/1/19,FK,3,44,Added_Total,,63.5,41.25,
KW_KJK,7/2/19,FK,1,4,Added_Total,,63,31,
