entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,rock,dung,moss,lichen,mushroom,litter,bare_ground,final_total,final_total_excel,BODA,BOGR,BRAR,BRTE,HECO,KOMA,PASM,SPCR,VUOC,CADU,CAFI,ARCA,ARDR,ARFR,COVI,OPPO,ALDE,ANOC,ANPA,AMPS,ASVI,COCA,HEHI,LASE,LEDE,LIPU,LIRI,LOAR,LYJU,OESU,PEES,PHHO,PLPA,SPCO,TAOF,TRDU,VIAM,POSE,basal rosette,CHPR,LIIN,ASGR,DEPI,ASPU,CRMI,DRRE,ARPU,Lygo deomia,Lygo deomia,DECA,ZIVE
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,1,aerial,20,20,20,0,0.25,0,0,0,77,3,100,100.25,0,0,3,1,3,0,2,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0,0.25,0,1,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,1,basal,5,6,6.25,0,0.25,0,0,0,86,4,100,96.5,0,0,0.25,0.25,1,0,1,0,0.25,1,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,2,aerial,40,41.5,41.5,0,0,0,0.25,0,55,5,100,101.75,0,0,2,28,0,0,3,0,0.5,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,3,2,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,2,basal,20,19.5,19.5,0,0,0,0.25,0,74,6,100,99.75,0,0,0.5,15,0,0,1,0,0.25,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,3,aerial,50,52,52.25,0,0.25,0,0,0,50,0.25,100,102.75,0,0,4,0.5,40,0,0.25,0,0.25,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,4,0,0,0,0,0.25,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,3,basal,35,35,35,0,0.5,0,0,0,65,0.5,100,101,0,0,0.5,0.25,30,0,0.25,0,0.25,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,0.25,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,4,aerial,38,40,40,0,0,0,0,0,59,3,100,102,0,0,4,0.5,8,0.5,0,0,2,1,9,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,11,0,0,0,0,0,2,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KW,n/a,2022,FK,4,basal,19,19.15,19.25,0,0,0,0,0,78,3,100,100.25,0,0,1,0.25,4,0,0,0,0.5,0.25,7,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,5,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,5,aerial,30,30,29.75,0,1,0,0,0,44,5,100,79.75,0,1,1,4,5,0,1,0,0.25,0,6,0,0.5,0,0,0,0.25,0,0,0,0,0,0.25,0,0.25,0,0,2,0,0,0,0,0,5,0.25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaysa_Kathryn_Bloodworth,KJK,6/30/2022,2022,FK,5,basal,15,14,13.5,0,2,0,0,0,75,7,100,97.5,0,0.5,0.25,0.5,3,0,0.5,0,0.25,0,4,0,0.25,0,0,0,0.25,0,0,0,0,0,0.25,0,0.25,0,0,1,0,0,0,0,0,0.25,0.25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
