entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,bare,dung,lichen,litter,moss,mushroom,Opuntia pads #,Aristida purpurea,Bouteloua gracilis,Bromus tectorum,Hesperostipa comata,Koeleria macrantha,Nassella viridula,Pascopyrum smithii,Poa secunda,Vulpia octoflora,Carex duriuscula,Carex filifolia,Artemisia dracunculus,Artemisia frigida,Artemisia tridentata,Coryphantha vivipara,Gutierrezia sarothrae,Opuntia polyacantha,Allium textile,Alyssum desertorum,Draba reptans,Eremogone hookeri,Hedeoma hispida,Lepidium densiflorum,Lithospermum incisum,Logfia arvensis,Lomatium foeniculaceum,Musineon divaricatum,Oenotherea suffrutescens,Phlox hoodii,Plantago patagonica,Psoralidium tenuiflorum,Sphaeralcea coccinea,Taraxacum officinale,Tragopogon dubius,Vicia americana,Androsace occidentalis,Antennaria parvifolia,Astragalus lotiflorus,Astragalus bisulcatus,Bouteloua dactyloides,Bromus arvensis,Camelina microcarpa,Chamaesyce nutans,Cirsium canescens,Cirsium undulatum,Conyza canadensis,Collomia linearis ,Comandra umbellata,Descurainia pinnata,Descurainia sophia,Draba nemorosa,Elymus elymoides,Erigeron engelmannii,Erigeron divergens/ochroleucus,Erigeron pumilus,Grindelia squarrosa,Lesquerella arenosa,Lesquerella ludoviciana,Leucocrinum montanum,Liatris punctata,Linum rigidum,Lygodesmia juncea,Machaeranthera canescens,Machaeranthera grindelioides,Machaeranthera pinnatifida,Nothocalais cuspidata,Nuttallanthus texanus,Oenotherea suffrutescens,Orobanche fasciculata,Penstemon albidus,Penstemon eriantherus,Pediomelum esculentum,Picradeniopsis oppositifolia,Polygonum aviculare,Scorzonera laciniata,Schedonnardus paniculatus,Sporobolus cryptandrus,Tetraneuris acaulis,Tradescantia occidentalis,Veronica peregrina,Viola nuttallii ,Zigadenus venenosus,Lupinus pusillus,STANDING DEADArtemisia tridentata,STANDING DEAD Bromus arvensis,STANDING DEAD Bromus tectorum,STANDING DEAD Logfia arvensis,STANDING DEAD Pascopyrum smithii,Penstemon sp.,CRCE/LELU/Penstemon sp,Oenothera?,Unknown #7 baby guara?,UNKN8 basal rosette lancroiati,Unk #3 Basal Rosette,Unk #3 soft point leaf KW photo,Unkn #10 small linear leaf KW photo,Cirsium sp.,Oneothera n?,Rock,Moss/Lichen/Bogr overlap,Notes
Jill Baty,"Kevin Wilcox, Sally Koerner",6/25/2019,2019,TB,1,Aerial,45,41.25,41.25,7,0,20,35,0.25,0,6,7,4,3,2,4,0,4,0,1,0.25,0,0,1,0,0,0,1,0,0,0.25,,2,0.5,0,8,0,0,0,0,0.25,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,
Jill Baty,"Kevin Wilcox, Sally Koerner",6/25/2019,2019,TB,1,Basal,20,19.25,20.5,10,0,20,50,0.25,0,.,4,2,0.5,0.5,2,0,1,0,0.25,0.25,0,0,1,0,0,0,0.5,0,0,0.25,,0.5,0.25,0,4,0,0,0,0,0.25,0,0,0,0,0,0,2,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Kevin Wilcox",6/25/2019,2019,TB,2,Aerial,53,51.25,50.75,13,0,7,20,9,0,7,3,16,0.5,4,6,0,3,0.25,6,0.25,4,0,4,0,0,0,1,0.25,0,0.25,,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Kevin Wilcox",6/25/2019,2019,TB,2,Basal,35,35.5,35.25,22,0,7,27,9,0,.,2,14,0.25,3,4,0,1,0.25,3,0.25,2,0,3,0,0,0,0.5,0.25,0,0.25,,0.25,0,0.25,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.25,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Kevin Wilcox, Sally Koerner",6/25/2019,2019,TB,3,Aerial,50,46.75,46.5,8,0,25,15,0,0,3,13,10,0.25,0.25,9,0,0.5,0,1,0,5,0,1,0,0,0,1,0.5,0,0,,0.25,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,,0,0,0,0,0,1,0,0.5,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,"Circium Und? Entered as CIUN; ""?Gilia (tall)"" entered as NUTE"
Jill Baty,"Kevin Wilcox, Sally Koerner",6/25/2019,2019,TB,3,Basal,30,30,30.25,10,0,25,35,0,0,.,9,8,0.25,0.25,5,0,0.25,0,0.25,0,3,0,0.5,0,0,0,0.5,0.25,0,0,,0.25,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,,0,0,0,0,0,0.5,0,0.25,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,"Circium Und? Entered as CIUN; ""?Gilia (tall)"" entered as NUTE"
Jill Baty,"Lauren Porensky, Kevin Wilcox",6/25/2019,2019,TB,4,Aerial,58,56.75,57.75,15,0,7,20,3,0,14,10,12,2,4,8,0,2,0,3,0,2,0,4,0,0,0,3,0,0,0.5,,0.25,0.25,0.25,5,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Kevin Wilcox",6/25/2019,2019,TB,4,Basal,28,32.25,34,25,0,7,35,3,0,.,5,10,0.5,2,5,0,1,0,1,0,0.5,0,2,0,0,0,2,0,0,0.5,,0.5,0.5,0,2,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Kevin Wilcox",6/25/2019,2019,TB,5,Aerial,68,69.75,70,6,0,1,20,0,0,8,1,8,20,3,4,0,2,1,1,0.25,0,0,0,0,0,0,2,0,0,0,,2,0.25,0,2,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,0.5,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
Jill Baty,"Lauren Porensky, Kevin Wilcox",6/25/2019,2019,TB,5,Basal,38,39.75,39.75,10,0,0,50,0,0,.,0.5,6,15,1,2,0,1,0.5,0.25,0.25,0,0,0,0,0,0,1,0,0,0,,0.25,0.25,0,0.5,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,,0,0,0,0,0,0,0,0.25,0,0,0.25,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,.
