entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,rock,dung,moss,lichen,bareground,litter,grasshopper_exoskeleton,final_total_datasheet,final_total_excel,OPPO_PADS,BOGR,BRTE,BRAR,HECO,PASM,POSE,VUOC,CAFI,CADU,ALDE,ARTR,DRRE,HEHI,LEDE,LOAR,OPPO,PLPA,SPCO,KOMA,NAVI,ERHO,OOMU,TAOF,GUSA,PHHO,ERPU,DEPI,CAMI,TRDU,VIAM,ALTE,COLI,MODI,NOCU,LOFO,MUDI,ARPU,POAV,CIUN_CIOC?,OEAL,DRNE,ZIVE,ANPA,ARFR,LIIN,PSTE,Unk_baby_forb_opp?,CIUN,ERPU?,PEAL,CIUN?,VEPE,MILI,MAGR,PEES,EREN,OESU,PIOP,CHLE,PEAL_LP_pic?,Unknown1_2021_no_sp_name_datasheet,notes
MF,SK,6/30/2021,2021,TB,46,aerial,40,38,38.25,,4,,5,15,35,,,97.25,6,,1,0.5,,13,1,,,,1,10,0.25,,,,2,0.25,0.25,,1,,2,0.25,0.25,0.5,,1,0.5,0.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,SK,6/30/2021,2021,TB,46,basal,15,15,15,,6,,7,20,50,,,98,,,0.25,0.25,,5,0.5,,,,0.25,4,0.25,,,,0.5,0.25,0.25,,0.5,,1,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,SK,6/30/2021,2021,TB,48,aerial,40,37,36.25,0.25,,,4,20,35,,,95.5,,,,0.25,,17,0.25,,,,1,2,0.25,,,,0.25,0.25,1,10,1,0.25,,,1,0.5,0.5,0.25,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,SK,6/30/2021,2021,TB,48,basal,15,16,16,0.5,,,6,25,50,,,97.5,,,,0.25,,6,0.25,,,,0.25,0.25,0.25,,,,0.25,0.25,0.25,6,0.5,0.25,,,0.25,0.25,0.25,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,SK,6/30/2021,2021,TB,51,aerial,15,16.25,16.5,,5,,0.5,3,75,,,100,,,,3,,6,0.5,,,,0.25,1,,,,,1,0.25,,,,,,,,,,,,,,1,1,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,MF called crossed out species Unknown1_2021_no_sp_name_datasheet; should MODI be MUDI?
MF,SK,6/30/2021,2021,TB,51,basal,7,6.25,6,,7,,1,5,80,,,99,,,,0.5,,3,0.25,,,,0.25,0.25,,,,,0.25,0.25,,,,,,,,,,,,,,0.25,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,
MF,SK,6/30/2021,2021,TB,53,aerial,35,31.25,31.5,0.5,,,8,20,35,,,95,,,,3,,14,0.25,,,,0.25,3,0.25,,,,,0.25,,8,,,,,1,,,,,,1,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,should MODI be MUDI?
MF,SK,6/30/2021,2021,TB,53,basal,15,15,15,1,,,10,30,45,,,101,,,,0.5,,6,0.25,,,,0.25,0.5,0.25,,,,,0.25,,6,,,,,0.25,,,,,,0.25,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/30/2021,2021,TB,54,aerial,10,11,11.25,0.5,,,10,60,20,,,101.75,,,,,,4,0.5,,,,,4,,,,,,,,,,,0.5,,,,,,,,0.25,0.25,0.25,,,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
MF,KK,6/30/2021,2021,TB,54,basal,5,6,6,0.5,,,12,61,21,,,100.5,,,,,,1,0.25,,,,,3,,,,,,,,,,,0.25,,,,,,,,0.25,0.25,0.25,,,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
