entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,rock,dung,moss,lichen,mushroom,litter,bare_ground,ARPU,BOGR,BRAR,BRTE,HECO,KOMA,PASM,VUOC,CADU,CAFI,ARFR,ARTR,COVI,OPPO,ALTE,ALDE,ANOC,ANPA,CAMI,COUM,COCA,ERHO,HEHI,LASE,LEDE,LOAR,LOFO,MILI,MUDI,PHHO,PLPA,POAV,PSTE,SPCO,TAOF,TRDU,VIAM,PIOP,POSE,ASBI,DRRE,VINU,NAVI,LIIN,LEMO,TROC,OESU,PEAN,CIUN,SPCR,LOFO,ERPU,VEPE,ASCR,PHLO,ZIVE,PEES,MAGR,GUSA,SCLA,"Pointy petals, Rhear leaves",ZIDI,GUSA,Flesur linear leaves in bunch (KW pic),ERDI,DEPI,SCPA,Sponge leaf (KW pic) - FRUN PIOP 46 (???),Notes,,,,,,,,,,,,,,,,,Rock,Moss/Lichen/Bogr overlap,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,39,aerial,85,89,89.5,1,0,0.25,2,0,2,10,0,80,0.25,0,0,1,4,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.5,0,0,2,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,39,basal,75,75,75,3,0,0.25,2,0,5,15,0,70,0.25,0,0,0.5,2,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,41,aerial,20,22,22,0.5,0,0,0,0,25,55,0,0,2,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,3,0.5,0,2,0.25,0.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,41,basal,10,10,10,1,0,0,0,0,30,60,0,0,0.5,0,0,3,1,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0.25,0.25,0.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,49,aerial,25,27,27.75,1,0,0.25,0.25,0,30,44,0,0,2,0,0,0,20,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0.5,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,49,basal,15,15,15.25,1,0,0.25,0.25,0,36,48,0,0,0.5,0,0,0,12,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0.25,0,0,0.25,0,0.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,51,aerial,30,32,32,0.25,3,0,0.5,0,50,16,0,0,6,0,0,0,20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0.25,0,0,0,0,0,2,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,51,basal,15,15,15,0.25,4,0,0.5,0,59,20,0,0,1,0,0,0,12,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,53,aerial,20,19,23.25,0.5,0,0.25,25,0,10,45,0,0,2,0,0,8,6,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KJK,6/29/22,2022,TB,53,basal,10,10,9.75,0.5,0,0.25,25,0,17,48,0,0,0.25,0,0,6,2,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,"LP, KK, KW",6/27/22,2022,TB,1,aerial,36,39,39,0.25,0.25,0,2,0,25,35,5,3,2,4,3,13,2,0.5,0.25,0,2,0,0,1,0,0,0,1,0,0,0,0,0.25,0,0.25,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,"LP, KK, KW",6/27/22,2022,TB,1,basal,18,20.25,20.25,0.25,0.25,0,2,0,40,40,4,2,0.5,1,1,8,0.5,0.25,0.25,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,"LP, KK, KW",6/27/22,2022,TB,2,aerial,40,44,43,0.25,0,5,4,0,10,40,3,16,0.5,0.5,5,3,3,0.5,0.25,2,4,0,0,2,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0,0,0.5,0,0,0,0.5,0,0.25,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,"LP, KK, KW",6/27/22,2022,TB,2,basal,27,29.25,29,0.25,0,5,4,0,19,45,2,13,0.25,0.25,3,2,1,0.25,0.25,1,3,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,"LP, KK, KW",6/27/22,2022,TB,3,aerial,55,53.75,54,0.5,0,10,3,0,10,20,11,11,0.25,0.5,3,15,1,0.25,0,4,2,0,0,0.5,0,0,0.25,0.5,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0,0,0,0.5,0.5,0.25,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,"LP, KK, KW",6/27/22,2022,TB,3,basal,38,36.75,36.75,0.5,0,10,3,0,25,23,7,9,0.25,0.25,1,10,0.25,0.25,0,3,2,0,0,0,0,0,0.25,0.5,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0.25,0.25,0.25,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kathryn Bloodworth,KK,6/28/22,2022,TB,4,aerial,65,66,66.5,0,0,3,2,0,8,22,10,25,1,0.25,12,8,2,0.25,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
