observers,date,site,block,plot,genus_species,symbol,aerial_cover,basal_cover,notes
JD_LP,6/28/2023,TB,1,1,Bareground,,23,35,
JD_LP,6/28/2023,TB,1,1,Dung,,0.25,0.25,
JD_LP,6/28/2023,TB,1,1,Lichen,,2,2,
JD_LP,6/28/2023,TB,1,1,Litter,,25,40,
JD_LP,6/28/2023,TB,1,1,Moss,,0.25,0.25,
JD_LP,6/28/2023,TB,1,1,Mushroom,,,,
JD_LP,6/28/2023,TB,1,1,Rocks,,0.25,0.25,
JD_LP,6/28/2023,TB,1,1,Cactus_cladodes,,2,,
JD_LP,6/28/2023,TB,1,1,Aristida_purpurea,ARPU,12,5,
JD_LP,6/28/2023,TB,1,1,Bouteloua_gracilis,BOGR,6,4,
JD_LP,6/28/2023,TB,1,1,Bromus_arvensis,BRAR,2,0.5,
JD_LP,6/28/2023,TB,1,1,Bromus_tectorum,BRTE,1,0.25,
JD_LP,6/28/2023,TB,1,1,Hesperostipa_comata,HECO,2,0.5,
JD_LP,6/28/2023,TB,1,1,Koeleria_macrantha,KOMA,14,8,
JD_LP,6/28/2023,TB,1,1,Nassella_viridula,NAVI,,,
JD_LP,6/28/2023,TB,1,1,Pascopyrum_smithii,PASM,2,1,
JD_LP,6/28/2023,TB,1,1,Poa_secunda,POSE,,,
JD_LP,6/28/2023,TB,1,1,Vulpia_octoflora,VUOC,0.5,0.25,
JD_LP,6/28/2023,TB,1,1,Carex_duriuscula,CADU,0.25,0.25,
JD_LP,6/28/2023,TB,1,1,Carex_filifolia,CAFI,,,
JD_LP,6/28/2023,TB,1,1,Artemisia_dracunculus,ARDR,,,
JD_LP,6/28/2023,TB,1,1,Artemisia_frigida,ARFR,2,1,
JD_LP,6/28/2023,TB,1,1,Artemisia_tridentata,ARTR,,,
JD_LP,6/28/2023,TB,1,1,Coryphantha_vivipara,COVI,,,
JD_LP,6/28/2023,TB,1,1,Gutierrezia_sarothrae,GUSA,,,
JD_LP,6/28/2023,TB,1,1,Opuntia_polycantha,OPPO,0.5,0.25,
JD_LP,6/28/2023,TB,1,1,Allium_textile,ALTE,,,
JD_LP,6/28/2023,TB,1,1,Alyssum_dessertorum,ALDE,,,
JD_LP,6/28/2023,TB,1,1,Draba_reptans,DRRE,,,
JD_LP,6/28/2023,TB,1,1,Hedeoma_Hispida,HEHI,0.25,0.25,
JD_LP,6/28/2023,TB,1,1,Lepidium_densiflorum,LEDE,0.25,0.25,
JD_LP,6/28/2023,TB,1,1,Lithospermum_incisum,LIIN,0.25,0.25,
JD_LP,6/28/2023,TB,1,1,Logfia_arvensis,LOAR,4,1,
JD_LP,6/28/2023,TB,1,1,Lomatium_foeniculaceum,LOFO,,,
JD_LP,6/28/2023,TB,1,1,Musineon_divaricatum,MUDI,,,
JD_LP,6/28/2023,TB,1,1,Oenotherea_suffrutenscens,OESU,,,
JD_LP,6/28/2023,TB,1,1,,TROC,,,
