observers,date,site,block,plot,genus_species,symbol,aerial_cover,basal_cover,notes
SC,7/1/20,FK,1,7,Bouteloua_gracilis,BOGR,1,0.5,
SC,7/1/20,FK,1,7,Bouteloua_dactyloides,BODA,,,
SC,7/1/20,FK,1,7,Bromus_arvensis,BRAR,10,5,
SC,7/1/20,FK,1,7,Bromus_tectorum,BRTE,1,0.5,
SC,7/1/20,FK,1,7,Hesperostipa_comata,HECO,3,1,
SC,7/1/20,FK,1,7,Koeleria_macrantha,KOMA,1,0.5,
SC,7/1/20,FK,1,7,Pascopyrum_smithii,PASM,0.5,0.5,
SC,7/1/20,FK,1,7,Poa_secunda,POSE,,,
SC,7/1/20,FK,1,7,Vulpia_octoflora,VUOC,3,1,
SC,7/1/20,FK,1,7,Aristida_purpurea,ARPU,1,0.5,
SC,7/1/20,FK,1,7,basal_aster_KW_pic_unknown,,0.5,0.5,
SC,7/1/20,FK,1,7,lanceolate_KW_pic_unknown,,0.5,0.5,
SC,7/1/20,FK,1,7,Conyza_canadensis,COCA,0.5,0.5,
SC,7/1/20,FK,1,7,Antennaria_spp_unknown,,0.5,0.5,
SC,7/1/20,FK,1,7,Carex_filifolia,CAFI,7,3,
SC,7/1/20,FK,1,7,Coryphanthus_vivipara,COVI,0.5,0.5,
SC,7/1/20,FK,1,7,Artemisia_dracunculus,ARDR,,,
SC,7/1/20,FK,1,7,Artemisia_frigida,ARFR,0.5,0.5,
SC,7/1/20,FK,1,7,Linum_rigidum,LIRI,,,
SC,7/1/20,FK,1,7,Logfia_arvensis,LOAR,1,0.5,
SC,7/1/20,FK,1,7,Opuntia_polycantha,OPPO,1,0.5,
SC,7/1/20,FK,1,7,Plantago_patagonica,PLPA,0.5,0.5,
SC,7/1/20,FK,1,7,Sphaeralcea_coccinea,SPCO,,,
SC,7/1/20,FK,1,7,Taraxacum_officinale,TAOF,,,
SC,7/1/20,FK,1,7,Tragopogon_dubius,TRDU,13,3,
SC,7/1/20,FK,1,7,Estimated_total,,42,18,
SC,7/1/20,FK,1,7,Added_total,,46,20,
SC,7/1/20,FK,1,7,Litter,,49,74,
SC,7/1/20,FK,1,7,Moss,,0.5,0.5,
SC,7/1/20,FK,1,7,Lichen,,0.5,0.5,
SC,7/1/20,FK,1,7,Rock,,0,0,
SC,7/1/20,FK,1,7,Bareground,,5,6,
SC,7/1/20,FK,1,7,Dung,,1,1,
SC,7/1/20,FK,1,9,Bouteloua_gracilis,BOGR,,,
SC,7/1/20,FK,1,9,Bouteloua_dactyloides,BODA,,,
SC,7/1/20,FK,1,9,Bromus_arvensis,BRAR,24,10,
SC,7/1/20,FK,1,9,Bromus_tectorum,BRTE,22,8,
SC,7/1/20,FK,1,9,Hesperostipa_comata,HECO,4,2,
SC,7/1/20,FK,1,9,Koeleria_macrantha,KOMA,2,1,
SC,7/1/20,FK,1,9,Pascopyrum_smithii,PASM,1,0.5,
SC,7/1/20,FK,1,9,Poa_secunda,POSE,0.5,0.5,
SC,7/1/20,FK,1,9,Vulpia_octoflora,VUOC,5,2,
SC,7/1/20,FK,1,9,Aristida_purpurea,ARPU,,,
SC,7/1/20,FK,1,9,basal_aster_KW_pic_unknown,,,,
SC,7/1/20,FK,1,9,lanceolate_KW_pic_unknown,,,,
SC,7/1/20,FK,1,9,Conyza_canadensis,COCA,,,
SC,7/1/20,FK,1,9,Antennaria_spp_unknown,,,,
SC,7/1/20,FK,1,9,Carex_filifolia,CAFI,10,5,
SC,7/1/20,FK,1,9,Coryphanthus_vivipara,COVI,0.5,0.5,
SC,7/1/20,FK,1,9,Artemisia_dracunculus,ARDR,,,
SC,7/1/20,FK,1,9,Artemisia_frigida,ARFR,4,2,
SC,7/1/20,FK,1,9,Linum_rigidum,LIRI,,,
SC,7/1/20,FK,1,9,Logfia_arvensis,LOAR,0.5,0.5,
SC,7/1/20,FK,1,9,Opuntia_polycantha,OPPO,,,
SC,7/1/20,FK,1,9,Plantago_patagonica,PLPA,,,
SC,7/1/20,FK,1,9,Sphaeralcea_coccinea,SPCO,1,0.5,
SC,7/1/20,FK,1,9,Taraxacum_officinale,TAOF,,,
SC,7/1/20,FK,1,9,Tragopogon_dubius,TRDU,2,0.5,
SC,7/1/20,FK,1,9,Estimated_total,,70,32,
SC,7/1/20,FK,1,9,Added_total,,76.5,33,
SC,7/1/20,FK,1,9,Litter,,27,64,
SC,7/1/20,FK,1,9,Moss,,0.5,0.5,
SC,7/1/20,FK,1,9,Lichen,,0.5,0.5,
