Site,Year,Month,Day,Date,Time_Period,Block,Paddock,Plot,Soil_Moisture,Drought,Grazing,site_plot
FK,2019,4,26,4/26/19,1,1,1,3,25.7,0,MMMMM,FK_3
FK,2019,4,26,4/26/19,1,1,1,4,25.7,0,MMMMM,FK_4
FK,2019,4,26,4/26/19,1,1,2,7,23.3,0,HHMMM,FK_7
FK,2019,4,26,4/26/19,1,1,2,9,22.3,0,HHMMM,FK_9
FK,2019,4,26,4/26/19,1,1,3,15,20.8,0,MLLMM,FK_15
FK,2019,4,26,4/26/19,1,1,3,17,21.8,0,MLLMM,FK_17
FK,2019,4,26,4/26/19,1,2,1,20,26.2,0,MLLMM,FK_20
FK,2019,4,26,4/26/19,1,2,1,23,23.3,0,MLLMM,FK_23
FK,2019,4,26,4/26/19,1,2,2,25,23.8,0,MMMMM,FK_25
FK,2019,4,26,4/26/19,1,2,2,29,21.3,0,MMMMM,FK_29
FK,2019,4,26,4/26/19,1,2,3,34,23.8,0,HHMMM,FK_34
FK,2019,4,26,4/26/19,1,2,3,36,24.7,0,HHMMM,FK_36
FK,2019,4,26,4/26/19,1,3,1,39,18.9,0,MLLMM,FK_39
FK,2019,4,26,4/26/19,1,3,1,41,27.7,0,MLLMM,FK_41
FK,2019,4,26,4/26/19,1,3,2,43,24.7,0,MMMMM,FK_43
FK,2019,4,26,4/26/19,1,3,2,48,15.9,0,MMMMM,FK_48
FK,2019,4,26,4/26/19,1,3,3,52,23.3,0,HHMMM,FK_52
FK,2019,4,26,4/26/19,1,3,3,53,21.3,0,HHMMM,FK_53
FK,2019,5,9,5/9/19,2,1,1,3,27.2,0,MMMMM,FK_3
FK,2019,5,9,5/9/19,2,1,1,4,26.7,0,MMMMM,FK_4
FK,2019,5,9,5/9/19,2,1,2,7,30.1,0,HHMMM,FK_7
FK,2019,5,9,5/9/19,2,1,2,9,22.8,0,HHMMM,FK_9
FK,2019,5,9,5/9/19,2,1,3,15,19.3,0,MLLMM,FK_15
FK,2019,5,9,5/9/19,2,1,3,17,21.8,0,MLLMM,FK_17
FK,2019,5,9,5/9/19,2,2,1,20,33.6,0,MLLMM,FK_20
FK,2019,5,9,5/9/19,2,2,1,23,23.3,0,MLLMM,FK_23
FK,2019,5,9,5/9/19,2,2,2,25,28.7,0,MMMMM,FK_25
FK,2019,5,9,5/9/19,2,2,2,29,29.2,0,MMMMM,FK_29
FK,2019,5,9,5/9/19,2,2,3,34,29.2,0,HHMMM,FK_34
FK,2019,5,9,5/9/19,2,2,3,36,26.2,0,HHMMM,FK_36
FK,2019,5,9,5/9/19,2,3,1,39,27.2,0,MLLMM,FK_39
FK,2019,5,9,5/9/19,2,3,1,41,33.6,0,MLLMM,FK_41
FK,2019,5,9,5/9/19,2,3,2,43,29.2,0,MMMMM,FK_43
FK,2019,5,9,5/9/19,2,3,2,48,23.3,0,MMMMM,FK_48
FK,2019,5,9,5/9/19,2,3,3,52,24.3,0,HHMMM,FK_52
FK,2019,5,9,5/9/19,2,3,3,53,20.8,0,HHMMM,FK_53
FK,2019,5,20,5/20/19,3,1,1,3,29.2,0,MMMMM,FK_3
FK,2019,5,20,5/20/19,3,1,1,4,23.8,0,MMMMM,FK_4
FK,2019,5,20,5/20/19,3,1,2,7,23.8,0,HHMMM,FK_7
FK,2019,5,20,5/20/19,3,1,2,9,23.8,0,HHMMM,FK_9
FK,2019,5,20,5/20/19,3,1,3,15,26.7,0,MLLMM,FK_15
FK,2019,5,20,5/20/19,3,1,3,17,28.2,0,MLLMM,FK_17
FK,2019,5,20,5/20/19,3,2,1,20,31.4,0,MLLMM,FK_20
FK,2019,5,20,5/20/19,3,2,1,23,26.7,0,MLLMM,FK_23
FK,2019,5,20,5/20/19,3,2,2,25,33.1,0,MMMMM,FK_25
