Date sampled ,Sample depth,Date run,Year,Processed by,Site Name,PlotID,% Sand,% Clay,% Silt,Lab Notes
10/18/19,0-10cm,1/31/20,2019,"SG, EBH",TB,1,72.928,10,17.072,
10/18/19,0-10cm,1/31/20,2019,"SG, EBH",TB,2,76.928,3.928,19.144,
10/18/19,0-10cm,1/31/20,2019,"SG, EBH",TB,3,79.928,3,17.072,
10/18/19,0-10cm,1/31/20,2019,"SG, EBH",TB,4,74,6,20,
7/29/22,0-10cm,1/12/23,2022,"JDD, KG, GP",TB,5,71.832,7.352,20.816,"sample rerun after soil spilt, original data is in soil texture folder on T drive"
10/18/19,0-10cm,1/31/20,2019,"SG, EBH",TB,6,78,0.928,21.072,
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,7,68,9.072,22.928,
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,8,62,16,22,
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,9,71,11,18,
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,10,57.072,15,27.928,
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,11,58,14,28,
7/29/22,0-10cm,1/13/23,2022,"JDD, KG, GP",TB,12,50.336,26.064,23.6,sample rerun after soil spilt
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,13,58.072,15,26.928,
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,14,60,11.072,28.928,
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,15,63.072,13,23.928,
7/29/22,0-10cm,1/13/23,2022,"JDD, KG, GP",TB,16,53.048,17.064,29.888,sample rerun after soil spilt
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,17,56,14.072,29.928,
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,18,60,12.144,27.856,
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,19,54,23.072,22.928,
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,20,49,23.072,27.928,
10/18/19,0-10cm,1/31/20,2019,"EBH, JB",TB,21,43,29.072,27.928,Still some clumps of clay after milkshaking. Tried to 20-shake vigorously
10/18/19,0-10cm,2/3/20,2019,"SG, EBH",TB,22,55.856,20.144,24,
10/18/19,0-10cm,2/3/20,2019,"SG, EBH",TB,23,44.856,29.144,26,
10/18/19,0-10cm,2/3/20,2019,"SG, EBH",TB,24,49.856,26.144,24,
10/18/19,0-10cm,2/3/20,2019,"SG, EBH",TB,25,51.784,26.072,22.144,
