Personnel,Date,Year,Site,Block,Paddock,Plot,Drought,Grazing,PlotID,Soil Moisture,SM again,Same?,TemperatureC,Temp again,Same?,Hi-Clay mode moisture,,,Notes
"Spencer Good, Jill Baty",4/19/19,2019,TB,1,2,3,1,HHMMM,3,16.0,16,T,28.6,28.6,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,1,2,4,2,HHMMM,4,20.1,20.1,T,28.5,28.5,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,1,3,7,2,MLLMM,7,25.4,25.4,T,29.2,29.2,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,1,3,9,1,MLLMM,9,23.3,23.3,T,29,29,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,1,1,15,2,MMMMM,15,28.1,28.1,T,28.4,28.4,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,1,1,17,1,MMMMM,17,24.5,24.5,T,28.4,28.4,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,2,2,20,2,HHMMM,20,25.2,25.2,T,28.3,28.3,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,2,2,23,1,HHMMM,23,27.8,27.8,T,28.3,28.3,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,2,1,25,1,MMMMM,25,27.5,27.5,T,28.8,28.8,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,2,1,29,2,MMMMM,29,21.8,21.8,T,28.6,28.6,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,2,3,34,1,MLLMM,34,29.2,29.2,T,28.2,28.2,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,2,3,36,2,MLLMM,36,26.9,26.9,T,28,28,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,3,3,39,1,MLLMM,39,28.6,28.6,T,32.9,32.9,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,3,3,41,2,MLLMM,41,40.6,40.6,T,32.3,32.3,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,3,2,43,1,HHMMM,43,33.5,33.5,T,31.6,31.6,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,3,2,48,2,HHMMM,48,34.2,34.2,T,30.5,30.5,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,3,1,52,1,MMMMM,52,35.2,35.2,T,30.3,30.3,T,,,,
"Spencer Good, Jill Baty",4/19/19,2019,TB,3,1,53,2,MMMMM,53,35.6,35.6,T,30.2,30.2,T,,,,
Spencer Good,5/2/19,2019,TB,1,2,3,1,HHMMM,3,14.8,14.8,T,17,17,T,,,,
Spencer Good,5/2/19,2019,TB,1,2,4,2,HHMMM,4,22.5,22.5,T,16.8,16.8,T,,,,
Spencer Good,5/2/19,2019,TB,1,3,7,2,MLLMM,7,27.6,27.6,T,14.4,14.4,T,,,,
Spencer Good,5/2/19,2019,TB,1,3,9,1,MLLMM,9,24.9,24.9,T,14.6,14.6,T,,,,
Spencer Good,5/2/19,2019,TB,1,1,15,2,MMMMM,15,29.1,29.1,T,15,15,T,,,,
Spencer Good,5/2/19,2019,TB,1,1,17,1,MMMMM,17,27.0,27,T,15.2,15.2,T,,,,
Spencer Good,5/2/19,2019,TB,2,2,20,2,HHMMM,20,34.6,34.6,T,15,15,T,,,,
