STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,,,,Inches,mm
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/1/2018,0,,2019,Oct-June,9.17,232.92
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/2/2018,0,,2020,Oct-July,8.73,221.74
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/3/2018,0.02,,2021,Oct-June,5.32,135.128
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/4/2018,0.01,,2022,Oct-June,9,228.6
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/5/2018,0.03,,2023,Oct-June,9.26,235.2
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/6/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/7/2018,0.34,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/8/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/9/2018,0.01,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/10/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/11/2018,0.07,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/12/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/13/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/14/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/15/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/16/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/17/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/18/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/19/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/20/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/21/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/22/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/23/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/24/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/25/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/26/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/27/2018,0.04,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/28/2018,0.03,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/29/2018,0.09,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/30/2018,0,,,,,
USW00024037,"MILES CITY AIRPORT, MT US",46.42647,-105.88333,800.2,10/31/2018,0,,,,,
