Site,Year,Month,Day,Date,Time_Period,Block,Paddock,Plot,Soil_Moisture,Drought,Grazing,site_plot
FK,2019,4,26,4/26/19,1,1,1,1,20.8,75,MMMMM,FK_1
FK,2019,4,26,4/26/19,1,1,1,2,12,99,MMMMM,FK_2
FK,2019,4,26,4/26/19,1,1,1,3,25.7,0,MMMMM,FK_3
FK,2019,4,26,4/26/19,1,1,1,4,25.7,0,MMMMM,FK_4
FK,2019,4,26,4/26/19,1,1,1,5,22.3,50,MMMMM,FK_5
FK,2019,4,26,4/26/19,1,1,1,6,28.2,25,MMMMM,FK_6
FK,2019,4,26,4/26/19,1,1,2,7,23.3,0,HHMMM,FK_7
FK,2019,4,26,4/26/19,1,1,2,8,15.4,75,HHMMM,FK_8
FK,2019,4,26,4/26/19,1,1,2,9,22.3,0,HHMMM,FK_9
FK,2019,4,26,4/26/19,1,1,2,10,18.9,99,HHMMM,FK_10
FK,2019,4,26,4/26/19,1,1,2,11,21.8,50,HHMMM,FK_11
FK,2019,4,26,4/26/19,1,1,2,12,27.7,25,HHMMM,FK_12
FK,2019,4,26,4/26/19,1,1,3,13,16.4,50,MLLMM,FK_13
FK,2019,4,26,4/26/19,1,1,3,14,19.8,75,MLLMM,FK_14
FK,2019,4,26,4/26/19,1,1,3,15,20.8,0,MLLMM,FK_15
FK,2019,4,26,4/26/19,1,1,3,16,18.4,25,MLLMM,FK_16
FK,2019,4,26,4/26/19,1,1,3,17,21.8,0,MLLMM,FK_17
FK,2019,4,26,4/26/19,1,1,3,18,13.9,99,MLLMM,FK_18
FK,2019,4,26,4/26/19,1,2,1,19,16.4,50,MLLMM,FK_19
FK,2019,4,26,4/26/19,1,2,1,20,26.2,0,MLLMM,FK_20
FK,2019,4,26,4/26/19,1,2,1,21,13,99,MLLMM,FK_21
FK,2019,4,26,4/26/19,1,2,1,22,16.9,75,MLLMM,FK_22
FK,2019,4,26,4/26/19,1,2,1,23,23.3,0,MLLMM,FK_23
FK,2019,4,26,4/26/19,1,2,1,24,19.8,25,MLLMM,FK_24
FK,2019,4,26,4/26/19,1,2,2,25,23.8,0,MMMMM,FK_25
FK,2019,4,26,4/26/19,1,2,2,26,13.9,75,MMMMM,FK_26
FK,2019,4,26,4/26/19,1,2,2,27,20.8,50,MMMMM,FK_27
FK,2019,4,26,4/26/19,1,2,2,28,12,99,MMMMM,FK_28
FK,2019,4,26,4/26/19,1,2,2,29,21.3,0,MMMMM,FK_29
FK,2019,4,26,4/26/19,1,2,2,30,24.3,25,MMMMM,FK_30
FK,2019,4,26,4/26/19,1,2,3,31,12,99,HHMMM,FK_31
FK,2019,4,26,4/26/19,1,2,3,32,22.3,25,HHMMM,FK_32
FK,2019,4,26,4/26/19,1,2,3,33,20.3,75,HHMMM,FK_33
FK,2019,4,26,4/26/19,1,2,3,34,23.8,0,HHMMM,FK_34
FK,2019,4,26,4/26/19,1,2,3,35,21.8,50,HHMMM,FK_35
FK,2019,4,26,4/26/19,1,2,3,36,24.7,0,HHMMM,FK_36
FK,2019,4,26,4/26/19,1,3,1,37,18.9,75,MLLMM,FK_37
FK,2019,4,26,4/26/19,1,3,1,38,26.7,25,MLLMM,FK_38
FK,2019,4,26,4/26/19,1,3,1,39,18.9,0,MLLMM,FK_39
FK,2019,4,26,4/26/19,1,3,1,40,12.5,99,MLLMM,FK_40
FK,2019,4,26,4/26/19,1,3,1,41,27.7,0,MLLMM,FK_41
FK,2019,4,26,4/26/19,1,3,1,42,27.2,50,MLLMM,FK_42
FK,2019,4,26,4/26/19,1,3,2,43,24.7,0,MMMMM,FK_43
FK,2019,4,26,4/26/19,1,3,2,44,22.8,25,MMMMM,FK_44
FK,2019,4,26,4/26/19,1,3,2,45,26.7,50,MMMMM,FK_45
FK,2019,4,26,4/26/19,1,3,2,46,19.8,75,MMMMM,FK_46
FK,2019,4,26,4/26/19,1,3,2,47,15.4,99,MMMMM,FK_47
FK,2019,4,26,4/26/19,1,3,2,48,15.9,0,MMMMM,FK_48
FK,2019,4,26,4/26/19,1,3,3,49,25.2,50,HHMMM,FK_49
FK,2019,4,26,4/26/19,1,3,3,50,22.3,25,HHMMM,FK_50
FK,2019,4,26,4/26/19,1,3,3,51,17.9,99,HHMMM,FK_51
FK,2019,4,26,4/26/19,1,3,3,52,23.3,0,HHMMM,FK_52
FK,2019,4,26,4/26/19,1,3,3,53,21.3,0,HHMMM,FK_53
FK,2019,4,26,4/26/19,1,3,3,54,18.4,75,HHMMM,FK_54
FK,2019,5,9,5/9/19,2,1,1,1,18.4,75,MMMMM,FK_1
FK,2019,5,9,5/9/19,2,1,1,2,5.6,99,MMMMM,FK_2
FK,2019,5,9,5/9/19,2,1,1,3,27.2,0,MMMMM,FK_3
FK,2019,5,9,5/9/19,2,1,1,4,26.7,0,MMMMM,FK_4
FK,2019,5,9,5/9/19,2,1,1,5,21.3,50,MMMMM,FK_5
FK,2019,5,9,5/9/19,2,1,1,6,25.7,25,MMMMM,FK_6
FK,2019,5,9,5/9/19,2,1,2,7,30.1,0,HHMMM,FK_7
FK,2019,5,9,5/9/19,2,1,2,8,13.5,75,HHMMM,FK_8
FK,2019,5,9,5/9/19,2,1,2,9,22.8,0,HHMMM,FK_9
FK,2019,5,9,5/9/19,2,1,2,10,14.4,99,HHMMM,FK_10
FK,2019,5,9,5/9/19,2,1,2,11,17.9,50,HHMMM,FK_11
FK,2019,5,9,5/9/19,2,1,2,12,28.2,25,HHMMM,FK_12
FK,2019,5,9,5/9/19,2,1,3,13,18.4,50,MLLMM,FK_13
FK,2019,5,9,5/9/19,2,1,3,14,14.4,75,MLLMM,FK_14
FK,2019,5,9,5/9/19,2,1,3,15,19.3,0,MLLMM,FK_15
FK,2019,5,9,5/9/19,2,1,3,16,17.9,25,MLLMM,FK_16
FK,2019,5,9,5/9/19,2,1,3,17,21.8,0,MLLMM,FK_17
FK,2019,5,9,5/9/19,2,1,3,18,13,99,MLLMM,FK_18
FK,2019,5,9,5/9/19,2,2,1,19,24.3,50,MLLMM,FK_19
FK,2019,5,9,5/9/19,2,2,1,20,33.6,0,MLLMM,FK_20
FK,2019,5,9,5/9/19,2,2,1,21,9.5,99,MLLMM,FK_21
FK,2019,5,9,5/9/19,2,2,1,22,17.4,75,MLLMM,FK_22
FK,2019,5,9,5/9/19,2,2,1,23,23.3,0,MLLMM,FK_23
FK,2019,5,9,5/9/19,2,2,1,24,18.4,25,MLLMM,FK_24
FK,2019,5,9,5/9/19,2,2,2,25,28.7,0,MMMMM,FK_25
FK,2019,5,9,5/9/19,2,2,2,26,13.9,75,MMMMM,FK_26
FK,2019,5,9,5/9/19,2,2,2,27,18.4,50,MMMMM,FK_27
FK,2019,5,9,5/9/19,2,2,2,28,9.5,99,MMMMM,FK_28
FK,2019,5,9,5/9/19,2,2,2,29,29.2,0,MMMMM,FK_29
FK,2019,5,9,5/9/19,2,2,2,30,20.3,25,MMMMM,FK_30
FK,2019,5,9,5/9/19,2,2,3,31,9,99,HHMMM,FK_31
FK,2019,5,9,5/9/19,2,2,3,32,23.8,25,HHMMM,FK_32
FK,2019,5,9,5/9/19,2,2,3,33,16.4,75,HHMMM,FK_33
FK,2019,5,9,5/9/19,2,2,3,34,29.2,0,HHMMM,FK_34
FK,2019,5,9,5/9/19,2,2,3,35,20.8,50,HHMMM,FK_35
FK,2019,5,9,5/9/19,2,2,3,36,26.2,0,HHMMM,FK_36
FK,2019,5,9,5/9/19,2,3,1,37,16.4,75,MLLMM,FK_37
FK,2019,5,9,5/9/19,2,3,1,38,24.3,25,MLLMM,FK_38
FK,2019,5,9,5/9/19,2,3,1,39,27.2,0,MLLMM,FK_39
FK,2019,5,9,5/9/19,2,3,1,40,13.9,99,MLLMM,FK_40
FK,2019,5,9,5/9/19,2,3,1,41,33.6,0,MLLMM,FK_41
FK,2019,5,9,5/9/19,2,3,1,42,21.3,50,MLLMM,FK_42
FK,2019,5,9,5/9/19,2,3,2,43,29.2,0,MMMMM,FK_43
FK,2019,5,9,5/9/19,2,3,2,44,26.7,25,MMMMM,FK_44
FK,2019,5,9,5/9/19,2,3,2,45,21.3,50,MMMMM,FK_45
FK,2019,5,9,5/9/19,2,3,2,46,13.5,75,MMMMM,FK_46
FK,2019,5,9,5/9/19,2,3,2,47,12.5,99,MMMMM,FK_47
FK,2019,5,9,5/9/19,2,3,2,48,23.3,0,MMMMM,FK_48
FK,2019,5,9,5/9/19,2,3,3,49,23.8,50,HHMMM,FK_49
FK,2019,5,9,5/9/19,2,3,3,50,19.3,25,HHMMM,FK_50
FK,2019,5,9,5/9/19,2,3,3,51,15.9,99,HHMMM,FK_51
FK,2019,5,9,5/9/19,2,3,3,52,24.3,0,HHMMM,FK_52
FK,2019,5,9,5/9/19,2,3,3,53,20.8,0,HHMMM,FK_53
FK,2019,5,9,5/9/19,2,3,3,54,12.5,75,HHMMM,FK_54
FK,2019,5,20,5/20/19,3,1,1,1,21.3,75,MMMMM,FK_1
FK,2019,5,20,5/20/19,3,1,1,2,13.5,99,MMMMM,FK_2
FK,2019,5,20,5/20/19,3,1,1,3,29.2,0,MMMMM,FK_3
FK,2019,5,20,5/20/19,3,1,1,4,23.8,0,MMMMM,FK_4
FK,2019,5,20,5/20/19,3,1,1,5,20.8,50,MMMMM,FK_5
FK,2019,5,20,5/20/19,3,1,1,6,25.7,25,MMMMM,FK_6
FK,2019,5,20,5/20/19,3,1,2,7,23.8,0,HHMMM,FK_7
FK,2019,5,20,5/20/19,3,1,2,8,13.9,75,HHMMM,FK_8
FK,2019,5,20,5/20/19,3,1,2,9,23.8,0,HHMMM,FK_9
FK,2019,5,20,5/20/19,3,1,2,10,7.1,99,HHMMM,FK_10
FK,2019,5,20,5/20/19,3,1,2,11,20.8,50,HHMMM,FK_11
FK,2019,5,20,5/20/19,3,1,2,12,22.3,25,HHMMM,FK_12
FK,2019,5,20,5/20/19,3,1,3,13,19.8,50,MLLMM,FK_13
FK,2019,5,20,5/20/19,3,1,3,14,13.5,75,MLLMM,FK_14
FK,2019,5,20,5/20/19,3,1,3,15,26.7,0,MLLMM,FK_15
FK,2019,5,20,5/20/19,3,1,3,16,24.3,25,MLLMM,FK_16
FK,2019,5,20,5/20/19,3,1,3,17,28.2,0,MLLMM,FK_17
FK,2019,5,20,5/20/19,3,1,3,18,7.1,99,MLLMM,FK_18
FK,2019,5,20,5/20/19,3,2,1,19,23.3,50,MLLMM,FK_19
FK,2019,5,20,5/20/19,3,2,1,20,31.4,0,MLLMM,FK_20
FK,2019,5,20,5/20/19,3,2,1,21,11,99,MLLMM,FK_21
FK,2019,5,20,5/20/19,3,2,1,22,15.4,75,MLLMM,FK_22
FK,2019,5,20,5/20/19,3,2,1,23,26.7,0,MLLMM,FK_23
FK,2019,5,20,5/20/19,3,2,1,24,24.3,25,MLLMM,FK_24
FK,2019,5,20,5/20/19,3,2,2,25,33.1,0,MMMMM,FK_25
FK,2019,5,20,5/20/19,3,2,2,26,17.4,75,MMMMM,FK_26
FK,2019,5,20,5/20/19,3,2,2,27,25.2,50,MMMMM,FK_27
FK,2019,5,20,5/20/19,3,2,2,28,13,99,MMMMM,FK_28
FK,2019,5,20,5/20/19,3,2,2,29,25.7,0,MMMMM,FK_29
FK,2019,5,20,5/20/19,3,2,2,30,24.7,25,MMMMM,FK_30
FK,2019,5,20,5/20/19,3,2,3,31,8.5,99,HHMMM,FK_31
FK,2019,5,20,5/20/19,3,2,3,32,21.3,25,HHMMM,FK_32
FK,2019,5,20,5/20/19,3,2,3,33,17.4,75,HHMMM,FK_33
FK,2019,5,20,5/20/19,3,2,3,34,31.6,0,HHMMM,FK_34
FK,2019,5,20,5/20/19,3,2,3,35,28.2,50,HHMMM,FK_35
FK,2019,5,20,5/20/19,3,2,3,36,32.1,0,HHMMM,FK_36
FK,2019,5,20,5/20/19,3,3,1,37,16.4,75,MLLMM,FK_37
FK,2019,5,20,5/20/19,3,3,1,38,24.7,25,MLLMM,FK_38
FK,2019,5,20,5/20/19,3,3,1,39,27.7,0,MLLMM,FK_39
FK,2019,5,20,5/20/19,3,3,1,40,7.6,99,MLLMM,FK_40
FK,2019,5,20,5/20/19,3,3,1,41,30.1,0,MLLMM,FK_41
FK,2019,5,20,5/20/19,3,3,1,42,18.9,50,MLLMM,FK_42
FK,2019,5,20,5/20/19,3,3,2,43,30.1,0,MMMMM,FK_43
FK,2019,5,20,5/20/19,3,3,2,44,30.6,25,MMMMM,FK_44
FK,2019,5,20,5/20/19,3,3,2,45,19.3,50,MMMMM,FK_45
FK,2019,5,20,5/20/19,3,3,2,46,13.5,75,MMMMM,FK_46
FK,2019,5,20,5/20/19,3,3,2,47,7.1,99,MMMMM,FK_47
FK,2019,5,20,5/20/19,3,3,2,48,24.7,0,MMMMM,FK_48
FK,2019,5,20,5/20/19,3,3,3,49,22.8,50,HHMMM,FK_49
FK,2019,5,20,5/20/19,3,3,3,50,21.3,25,HHMMM,FK_50
FK,2019,5,20,5/20/19,3,3,3,51,6.1,99,HHMMM,FK_51
FK,2019,5,20,5/20/19,3,3,3,52,25.2,0,HHMMM,FK_52
FK,2019,5,20,5/20/19,3,3,3,53,22.8,0,HHMMM,FK_53
FK,2019,5,20,5/20/19,3,3,3,54,13.5,75,HHMMM,FK_54
FK,2019,5,28,5/28/19,4,1,1,1,16.4,75,MMMMM,FK_1
FK,2019,5,28,5/28/19,4,1,1,2,10.5,99,MMMMM,FK_2
FK,2019,5,28,5/28/19,4,1,1,3,37.5,0,MMMMM,FK_3
FK,2019,5,28,5/28/19,4,1,1,4,33.1,0,MMMMM,FK_4
FK,2019,5,28,5/28/19,4,1,1,5,24.7,50,MMMMM,FK_5
FK,2019,5,28,5/28/19,4,1,1,6,33.1,25,MMMMM,FK_6
FK,2019,5,28,5/28/19,4,1,2,7,31.1,0,HHMMM,FK_7
FK,2019,5,28,5/28/19,4,1,2,8,13.5,75,HHMMM,FK_8
FK,2019,5,28,5/28/19,4,1,2,9,32.1,0,HHMMM,FK_9
FK,2019,5,28,5/28/19,4,1,2,10,7.1,99,HHMMM,FK_10
FK,2019,5,28,5/28/19,4,1,2,11,25.2,50,HHMMM,FK_11
FK,2019,5,28,5/28/19,4,1,2,12,33.1,25,HHMMM,FK_12
FK,2019,5,28,5/28/19,4,1,3,13,25.2,50,MLLMM,FK_13
FK,2019,5,28,5/28/19,4,1,3,14,19.8,75,MLLMM,FK_14
FK,2019,5,28,5/28/19,4,1,3,15,28.7,0,MLLMM,FK_15
FK,2019,5,28,5/28/19,4,1,3,16,25.7,25,MLLMM,FK_16
FK,2019,5,28,5/28/19,4,1,3,17,27.7,0,MLLMM,FK_17
FK,2019,5,28,5/28/19,4,1,3,18,7.1,99,MLLMM,FK_18
FK,2019,5,28,5/28/19,4,2,1,19,25.2,50,MLLMM,FK_19
FK,2019,5,28,5/28/19,4,2,1,20,29.7,0,MLLMM,FK_20
FK,2019,5,28,5/28/19,4,2,1,21,8.5,99,MLLMM,FK_21
FK,2019,5,28,5/28/19,4,2,1,22,18.9,75,MLLMM,FK_22
FK,2019,5,28,5/28/19,4,2,1,23,29.2,0,MLLMM,FK_23
FK,2019,5,28,5/28/19,4,2,1,24,30.1,25,MLLMM,FK_24
FK,2019,5,28,5/28/19,4,2,2,25,25.2,0,MMMMM,FK_25
FK,2019,5,28,5/28/19,4,2,2,26,11.5,75,MMMMM,FK_26
FK,2019,5,28,5/28/19,4,2,2,27,29.7,50,MMMMM,FK_27
FK,2019,5,28,5/28/19,4,2,2,28,6.6,99,MMMMM,FK_28
FK,2019,5,28,5/28/19,4,2,2,29,30.1,0,MMMMM,FK_29
FK,2019,5,28,5/28/19,4,2,2,30,20.3,25,MMMMM,FK_30
FK,2019,5,28,5/28/19,4,2,3,31,8.5,99,HHMMM,FK_31
FK,2019,5,28,5/28/19,4,2,3,32,24.7,25,HHMMM,FK_32
FK,2019,5,28,5/28/19,4,2,3,33,18.9,75,HHMMM,FK_33
FK,2019,5,28,5/28/19,4,2,3,34,32.1,0,HHMMM,FK_34
FK,2019,5,28,5/28/19,4,2,3,35,31.6,50,HHMMM,FK_35
FK,2019,5,28,5/28/19,4,2,3,36,34.1,0,HHMMM,FK_36
FK,2019,5,28,5/28/19,4,3,1,37,18.9,75,MLLMM,FK_37
FK,2019,5,28,5/28/19,4,3,1,38,26.7,25,MLLMM,FK_38
FK,2019,5,28,5/28/19,4,3,1,39,28.2,0,MLLMM,FK_39
FK,2019,5,28,5/28/19,4,3,1,40,9,99,MLLMM,FK_40
FK,2019,5,28,5/28/19,4,3,1,41,29.7,0,MLLMM,FK_41
FK,2019,5,28,5/28/19,4,3,1,42,30.6,50,MLLMM,FK_42
FK,2019,5,28,5/28/19,4,3,2,43,35.1,0,MMMMM,FK_43
FK,2019,5,28,5/28/19,4,3,2,44,37,25,MMMMM,FK_44
FK,2019,5,28,5/28/19,4,3,2,45,29.7,50,MMMMM,FK_45
FK,2019,5,28,5/28/19,4,3,2,46,16.9,75,MMMMM,FK_46
FK,2019,5,28,5/28/19,4,3,2,47,10.5,99,MMMMM,FK_47
FK,2019,5,28,5/28/19,4,3,2,48,34.6,0,MMMMM,FK_48
FK,2019,5,28,5/28/19,4,3,3,49,26.7,50,HHMMM,FK_49
FK,2019,5,28,5/28/19,4,3,3,50,31.1,25,HHMMM,FK_50
FK,2019,5,28,5/28/19,4,3,3,51,12.5,99,HHMMM,FK_51
FK,2019,5,28,5/28/19,4,3,3,52,30.6,0,HHMMM,FK_52
FK,2019,5,28,5/28/19,4,3,3,53,29.7,0,HHMMM,FK_53
FK,2019,5,28,5/28/19,4,3,3,54,15.4,75,HHMMM,FK_54
FK,2019,6,10,6/10/19,5,1,1,1,10.5,75,MMMMM,FK_1
FK,2019,6,10,6/10/19,5,1,1,2,9,99,MMMMM,FK_2
FK,2019,6,10,6/10/19,5,1,1,3,22.8,0,MMMMM,FK_3
