,,,,,,,,,,,,,,,,Opuntia pads #,Aristida purpurea,Bouteloua gracilis,Bromus tectorum,Hesperostipa comata,Koeleria macrantha,Nassella viridula,Pascopyrum smithii,Poa secunda,Vulpia octoflora,Carex duriuscula,Carex filifolia,Artemisia dracunculus,Artemisia frigida,Artemisia tridentata,Coryphantha vivipara,Gutierrezia sarothrae,Opuntia polyacantha,Allium textile,Alyssum desertorum,Draba reptans,Eremogone hookeri,Hedeoma hispida,Lepidium densiflorum,Lithospermum incisum,Logfia arvensis,Lomatium foeniculaceum,Musineon divaricatum,Oenotherea suffrutescens,Phlox hoodii,Plantago patagonica,Psoralidium tenuiflorum,Sphaeralcea coccinea,Taraxacum officinale,Tragopogon dubius,Vicia americana,Androsace occidentalis,Antennaria parvifolia,Astragalus lotiflorus,Astragalus bisulcatus,Bouteloua dactyloides,Bromus arvensis,Camelina microcarpa,Chamaesyce nutans,Cirsium canescens,Cirsium undulatum,Conyza canadensis,Collomia linearis ,Comandra umbellata,Descurainia pinnata,Descurainia sophia,Draba nemorosa,Elymus elymoides,Erigeron canus,Erigeron divergens/ochroleucus,Erigeron pumilus,Grindelia squarrosa,Lesquerella arenosa,Lesquerella ludoviciana,Leucocrinum montanum,Liatris punctata,Linum rigidum,Lygodesmia juncea,Machaeranthera canescens,Machaeranthera grindelioides,Machaeranthera pinnatifida,Nothocalais cuspidata,Nuttallanthus texanus,Oenotherea suffrutescens,Orobanche fasciculata,Penstemon albidus,Penstemon eriantherus,Pediomelum esculentum,Picradeniopsis oppositifolia,Polygonum aviculare,Scorzonera laciniata,Schedonnardus paniculatus,Sporobolus cryptandrus,Tetraneuris acaulis,Tradescantia occidentalis,Veronica peregrina,Viola nuttallii ,Zigadenus venenosus,Lupinus pusillus,STANDING DEADArtemisia tridentata,STANDING DEAD Bromus arvensis,STANDING DEAD Bromus tectorum,STANDING DEAD Logfia arvensis,STANDING DEAD Pascopyrum smithii,Penstemon sp.,CRCE/LELU/Penstemon sp,Oenothera?,Unknown #7 baby guara?,UNKN8 basal rosette lancroiati,Unk #3 Basal Rosette,Unk #3 soft point leaf KW photo,Unkn #10 small linear leaf KW photo,Cirsium sp.,Oneothera n?,,,NOTES
entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,bare,dung,lichen,litter,moss,mushroom,OPPO_PADS,ARPU,BOGR,BRTE,HECO,KOMA,NAVI,PASM,POSE,VUOC,CADU,CAFI,ARDR,ARFR,ARTR,COVI,GUSA,OPPO,ALTE,ALDE,DRRE,ERHO,HEHI,LEDE,LIIN,LOAR,LOFO,MUDI,OESU,PHHO,PLPA,PSTE,SPCO,TAOF,TRDU,VIAM,ANOC,ANPA,ASLO,ASBI,BODA,BRAR,CAMI,CHNU,CICA,CIUN,COCA,COLI,COUM,DEPI,DESO,DRNE,ELEL,ERCA,ERDI,ERPU,GRSQ,LEAR,LELU,LEMO,LIPU-liatris,LIRI,LYJU,MACA,MAGR,MAPI,NOCU,NUTE,OESU,ORFA,PEAL,PEER,PEES,PIOP,POAV,SCLA,SCPA,SPCR,TEAC,TROC,VEPE,VINU,ZIVE,LUPU,SDARTR,SDBRAR,SDBRRTE,SDLOAR,SDPASM,PESP,,,,,,,,CISP,,Rock,Moss/Lichen/Bogr overlap,
Jill Baty,Sally Koerner,6/23/18,2018,TB,13,Aerial,70,73,73.5,18,0,1,10,1,,,,0,0.5,8,12,,2,5,0.5,5,0,,8,5,,,15,0,0,0.5,,0.5,0.5,,5,0.5,,,,0.5,,3,0,0,,,,,,,1,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,0,.,CRCE/LELU/Penstemon sp. Is SK pics #1; Oenothera? Is SK pic#2
Jill Baty,Sally Koerner,6/23/18,2018,TB,13,Basal,40,39.5,40,35,0.5,1,23,1,,,,0,0.5,6,9,,0.5,2,0.5,1,0,,5,1,,,8,0,0,0.5,,0.5,0.5,,2,0.5,,,,0.5,,0.5,0,0,,,,,,,0.5,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,0,0,CRCE/LELU/Penstemon sp. Is SK pics #1; Oenothera? Is SK pic#2
Jill Baty,Sally Koerner,6/23/18,2018,TB,16,Aerial,65,67,67.5,9,0.5,0.5,25,0,,,,4,2,0,2,,13,10,1,0.5,0,,0,0,,,5,0,0,0,,0.5,1,,18,0.5,,,,0.5,,2,1,0,,,,,,,6,0.5,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,.,
Jill Baty,Sally Koerner,6/23/18,2018,TB,16,Basal,37,35.5,37,22,0.5,0.5,40,0,,,,2,0.5,0,1,,7,4,0.5,0.5,0,,0,0,,,3,0,0,0,,0.5,0.5,,14,0.5,,,,0.5,,0.5,0.5,0,,,,,,,1,0.5,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,
Jill Baty,Sally Koerner,6/23/18,2018,TB,15,Aerial,75,93.5,94.5,2,0,0,23,0,,,,0,30,0.5,1,,8,1,0.5,7,0,,0,0,,,3,0,0,0,,0.5,0,,40,0,,,,0.5,,0.5,0,0,,,,,,,2,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,.,*15 overlapping spcies!
Jill Baty,Sally Koerner,6/23/18,2018,TB,15,Basal,45,43.5,43,10,0,0,35,0,,,,0,10,0.5,0.5,,5,0.5,0.5,3,0,,0,0,,,1,0,0,0,,0.5,0,,20,0,,,,0.5,,0.5,0,0,,,,,,,0.5,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,*15 overlapping spcies!
Jill Baty,Kim LaPierre,6/23/18,2018,TB,14,Aerial,60,59,59,25,0.5,1,14,0.5,,,,4,0.5,0,24,,10,5,0.5,0.5,0,,0,1,,,5,0.5,0,0,,0.5,0.5,,3,1,,,,1,,0,0,1,,,,,,,1,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,.,
Jill Baty,Kim LaPierre,6/23/18,2018,TB,14,Basal,40,38,38,40,1,1,20,0.5,,,,3,0.5,0,17,,7,2,0.5,0.5,0,,0,0,,,3,0.5,0,0,,0.5,0.5,,1,0.5,,,,0.5,,0,0,0.5,,,,,,,0.5,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Jill Baty,Kim LaPierre,6/23/18,2018,TB,17,Aerial,75,74,74,20,0,0.5,5,0.5,,,,2,0.5,1,18,,6,12,0,0.5,0,,0,4,,,14,0,0,0,,0.5,0,,12,0.5,,,,0.5,,1,0,0,,,,,,,0.5,0,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,.,
