site,Genus_Species_2,Genus_Species_Correct
FK,Bromus.arvensis,Bromus.arvensis
FK,Carex.duriuscula,Carex.duriuscula
FK,Poa.secunda,Poa.secunda
FK,Bromus.tectorum,Bromus.tectorum
FK,Hesperostipa.comata,Hesperostipa.comata
FK,Sphaeralcea.coccinea,Sphaeralcea.coccinea
FK,Logfia.arvensis,Logfia.arvensis
FK,Pascopyrum.smithii,Pascopyrum.smithii
FK,Carex.filifolia,Carex.filifolia
FK,Artemisia.frigida,Artemisia.frigida
FK,Opuntia.polyacantha,Opuntia.polyacantha
FK,Bouteloua.gracilis,Bouteloua.gracilis
FK,Koeleria.macrantha,Koeleria.macrantha
FK,Tragopogon.dubius,Tragopogon.dubius
FK,Plantago.patagonica,Plantago.patagonica
FK,Androsace.occidentalis,Androsace.occidentalis
FK,Taraxacum.officinale,Taraxacum.officinale
FK,Artemisia.dracunculus,Artemisia.dracunculus
FK,Artemisia.tridentata,Artemisia.tridentata
FK,Aristida.purpurea,Aristida.purpurea
FK,Vulpia.octoflora,Vulpia.octoflora
FK,Psoralidium.tenuiflorum,Psoralidium.tenuiflorum
FK,Pediomelum.esculentum,Pediomelum.esculentum
TB,Bouteloua.gracilis,Bouteloua.gracilis
TB,Koeleria.macrantha,Koeleria.macrantha
TB,Aristida.purpurea,Aristida.purpurea
TB,Carex.filifolia,Carex.filifolia
TB,Artemisia.frigida,Artemisia.frigida
TB,Logfia.arvensis,Logfia.arvensis
TB,Bromus.tectorum,Bromus.tectorum
TB,Pascopyrum.smithii,Pascopyrum.smithii
TB,Opuntia.polyacantha,Opuntia.polyacantha
TB,Hesperostipa.comata,Hesperostipa.comata
TB,Vulpia.octoflora,Vulpia.octoflora
TB,Alyssum.desertorum,Alyssum.desertorum
TB,Poa.secunda,Poa.secunda
TB,Bromus.arvensis,Bromus.arvensis
TB,Artemisia.tridentata,Artemisia.tridentata
TB,Psoralidium.tenuiflorum,Psoralidium.tenuiflorum
TB,Lepidium.densiflorum,Lepidium.densiflorum
TB,Carex.duriuscula,Carex.duriuscula
TB,Sphaeralcea.coccinea,Sphaeralcea.coccinea
TB,Lomatium.foeniculaceum,Lomatium.foeniculaceum
TB,Plantago.patagonica,Plantago.patagonica
TB,Vicia.americana,Vicia.americana
TB,Gutierrezia.sarothrae,Gutierrezia.sarothrae
TB,Phlox.hoodii,Phlox.hoodii
TB,Lithospermum.incisum,Lithospermum.incisum
TB,Allium.textile,Allium.textile
TB,Draba.reptans,Draba.reptans
TB,Descurainia.pinnata,Descurainia.pinnata
TB,Nassella.viridula,Nassella.viridula
TB,Picradeniopsis.oppositifolia,Picradeniopsis.oppositifolia
TB,Taraxacum.officinale,Taraxacum.officinale
TB,Erigeron.canus,Erigeron.canus
TB,Musineon.divaricatum,Musineon.divaricatum
TB,Tetraneuris.acaulis,Tetraneuris.acaulis
FK,Lygodesmia.juncea,Lygodesmia.juncea
FK,Alyssum.desertorum,Alyssum.desertorum
FK,Bouteloua.dactyloides,Bouteloua.dactyloides
FK,Linum.rigidum,Linum.rigidum
FK,Asclepias.stenophylla,Asclepias.stenophylla
FK,Coryphantha.viviparus,Coryphantha.viviparus
FK,Lithospermum.incisum,Lithospermum.incisum
FK,Lepidium.densiflorum,Lepidium.densiflorum
FK,Astragalus.gracilis,Astragalus.gracilis
FK,opuntia_pads,opuntia_pads
FK,Oenothera.suffrutescens,Oenothera.suffrutescens
FK,Euphorbia.nutans,Euphorbia.nutans
FK,Liatris.punctata,Liatris.punctata
FK,Vicia.americana,Vicia.americana
FK,Conyza.canadensis,Conyza.canadensis
FK,Astragalus.purshii,Astragalus.purshii
TB,Hedeoma.hispida,Hedeoma.hispida
TB,Antennaria.parvifolia,Antennaria.parvifolia
TB,Sporobolus.cryptandrus,Sporobolus.cryptandrus
TB,Polygonum.aviculare,Polygonum.aviculare
TB,Tradescantia.occidentalis,Tradescantia.occidentalis
TB,Erigeron.pumilus,Erigeron.pumilus
TB,Elymus.elymoides,Elymus.elymoides
FK,Artemisia.cana,Artemisia.cana
FK,Hedeoma.hispida,Hedeoma.hispida
FK,Lactuca.serriola,Lactuca.serriola
FK,Sporobolus.cryptandrus,Sporobolus.cryptandrus
TB,Cirsium.undulatum,Cirsium.undulatum
TB,Eremogone.hookeri,Eremogone.hookeri
TB,Oenothera.suffrutescens,Oenothera.suffrutescens
TB,Astragalus.bisulcatus,Astragalus.bisulcatus
TB,Tragopogon.dubius,Tragopogon.dubius
TB,OOMU,OOMU
TB,Collomia.linearis,Collomia.linearis
TB,MODI,Musineon.divaricatum
TB,NOCU,Nothocalais.cuspidata
