site,block,paddock,plot,slope,rainfall_reduction,drought,grazing_category,grazing_treatment,livestock_util_2019,livestock_util_2020,livestock_util_2021
FK,1,1,1,1,75,75,MMMMM,stable,50,50,50
FK,1,1,2,1,99,99,MMMMM,stable,50,50,50
FK,1,1,3,2,0,1,MMMMM,stable,50,50,50
FK,1,1,4,2,0,2,MMMMM,stable,50,50,50
FK,1,1,5,3,50,50,MMMMM,stable,50,50,50
FK,1,1,6,3,25,25,MMMMM,stable,50,50,50
FK,1,2,7,4,0,2,HHMMM,heavy,70,70,50
FK,1,2,8,4,75,75,HHMMM,heavy,70,70,50
FK,1,2,9,5,0,1,HHMMM,heavy,70,70,50
FK,1,2,10,5,99,99,HHMMM,heavy,70,70,50
FK,1,2,11,6,50,50,HHMMM,heavy,70,70,50
FK,1,2,12,6,25,25,HHMMM,heavy,70,70,50
FK,1,3,13,4,50,50,MLLMM,destock,50,30,30
FK,1,3,14,4,75,75,MLLMM,destock,50,30,30
FK,1,3,15,5,0,2,MLLMM,destock,50,30,30
FK,1,3,16,5,25,25,MLLMM,destock,50,30,30
FK,1,3,17,6,0,1,MLLMM,destock,50,30,30
FK,1,3,18,6,99,99,MLLMM,destock,50,30,30
FK,2,1,19,6,50,50,MLLMM,destock,50,30,30
FK,2,1,20,6,0,2,MLLMM,destock,50,30,30
FK,2,1,21,5,99,99,MLLMM,destock,50,30,30
FK,2,1,22,5,75,75,MLLMM,destock,50,30,30
FK,2,1,23,4,0,1,MLLMM,destock,50,30,30
FK,2,1,24,4,25,25,MLLMM,destock,50,30,30
FK,2,2,25,6,0,1,MMMMM,stable,50,50,50
FK,2,2,26,6,75,75,MMMMM,stable,50,50,50
FK,2,2,27,5,50,50,MMMMM,stable,50,50,50
FK,2,2,28,5,99,99,MMMMM,stable,50,50,50
FK,2,2,29,4,0,2,MMMMM,stable,50,50,50
FK,2,2,30,4,25,25,MMMMM,stable,50,50,50
FK,2,3,31,3,99,99,HHMMM,heavy,70,70,50
FK,2,3,32,3,25,25,HHMMM,heavy,70,70,50
FK,2,3,33,2,75,75,HHMMM,heavy,70,70,50
FK,2,3,34,2,0,1,HHMMM,heavy,70,70,50
FK,2,3,35,1,50,50,HHMMM,heavy,70,70,50
FK,2,3,36,1,0,2,HHMMM,heavy,70,70,50
FK,3,1,37,6,75,75,MLLMM,destock,50,30,30
FK,3,1,38,6,25,25,MLLMM,destock,50,30,30
FK,3,1,39,5,0,1,MLLMM,destock,50,30,30
FK,3,1,40,5,99,99,MLLMM,destock,50,30,30
