"","Site","DxG_block","paddock","genus_species","species_code","Date","Season","height_cm","emerging_leaves","developed_leaves","scenesced_leaves","percent_green","lifespan","growth_form","photosynthetic_pathway","leaf_thickness_.mm.","wet_leaf_weight_g","Dry_Biomass_min_Leaf_g","Dry_Leaf_Weight_g","Leaf_Area"
"1","FK",1,"LG","Alyssum_desetorum","ALDE","5/30/22","Early",13.9,4,7,0,99,"annual","forb","C3",0.044,"0.0031","0.0522","0.0005",0.152
"2","FK",1,"MG","Alyssum_desetorum","ALDE","5/30/22","Early",10.7,7,34,1,NA,"annual","forb","C3",0.041,"0.0035","0.058","0.0012",0.149
"3","FK",1,"HG","Alyssum_desetorum","ALDE","5/30/22","Early",8.5,14,10,0,99,"annual","forb","C3",0.04,"0.0015","0.0287","0.0001",0.07
"4","FK",2,"LG","Alyssum_desetorum","ALDE","5/31/22","Early",10,9,7,0,100,"annual","forb","C3",0.033,"0.0033","0.054","0.0004",0.138
"5","FK",2,"MG","Alyssum_desetorum","ALDE","5/31/22","Early",12.2,9,11,0,98,"annual","forb","C3",0.061,"0.0059","0.1833","0.001",0.204
"6","FK",2,"HG","Alyssum_desetorum","ALDE","5/31/22","Early",14.9,19,14,0,100,"annual","forb","C3",0.042,"0.0034","0.1476","0.0011",0.127
"7","FK",3,"LG","Alyssum_desetorum","ALDE","5/31/22","Early",9.4,0,9,0,100,"annual","forb","C3",0.041,"0.0044","0.0204","0.0002",0.185
"8","FK",3,"MG","Alyssum_desetorum","ALDE","6/1/22","Early",9.7,15,5,0,100,"annual","forb","C3",0.041,"0.0036","0.0566","0.0009",NA
"9","FK",3,"HG","Alyssum_desetorum","ALDE","6/1/22","Early",15.5,0,15,1,98,"annual","forb","C3",0.056,"0.0053","0.0831","0.0011",0.206
"10","FK",1,"LG","Androsace_occidentalis","ANOC","5/30/22","Early",2.6,3,5,4,90,"annual","forb","C3",0.044,"0.0011","0.0237","1e-05",0.042
"11","FK",1,"MG","Androsace_occidentalis","ANOC","5/30/22","Early",2,3,3,9,60,"annual","forb","C3",0.039,"0.0005","0.0074","1e-05",0.021
"12","FK",1,"HG","Androsace_occidentalis","ANOC","5/30/22","Early",3.5,4,5,11,80,"annual","forb","C3",0.032,"0.0007","0.0213","0.0001",0.034
"13","FK",2,"LG","Androsace_occidentalis","ANOC","5/31/22","Early",2.2,2,11,6,85,"annual","forb","C3",0.042,"0.0007","0.0196","0.0002",0.03
"14","FK",2,"MG","Androsace_occidentalis","ANOC","5/31/22","Early",2.5,3,8,8,60,"annual","forb","C3",0.067,"0.0006","0.0256","1e-05",0.023
"15","FK",2,"HG","Androsace_occidentalis","ANOC","5/31/22","Early",3.4,11,15,4,95,"annual","forb","C3",0.046,"0.0009","0.0427","1e-05",0.038
"16","FK",3,"LG","Androsace_occidentalis","ANOC","5/31/22","Early",2.5,5,4,7,80,"annual","forb","C3",0.032,"0.0003","0.006","1e-05",0.057
"17","FK",3,"MG","Androsace_occidentalis","ANOC","6/1/22","Early",3.7,7,6,7,70,"annual","forb","C3",0.033,"0.0015","0.0328","1e-05",0.056
"18","FK",3,"HG","Androsace_occidentalis","ANOC","6/1/22","Early",3.2,3,9,6,98,"annual","forb","C3",0.04,"0.001","0.013","1e-05",0.03
"19","FK",1,"LG","Artemisia_cana","ARCA","7/1/22","Late",21.1,12,56,18,82,"perennial","woody","C3",0.037,"0.0404","0.738","0.013",1.387
"20","FK",1,"MG","Artemisia_cana","ARCA","7/1/22","Late",63.2,7,2,2,89,"perennial","woody","C3",0.041,"0.0387","0.2518","0.0094",1.088
"21","FK",1,"HG","Artemisia_cana","ARCA","7/1/22","Late",39.9,3,15,3,NA,"perennial","woody","C3",0.032,"0.031","0.1295","0.0003",1.226
"22","FK",2,"LG","Artemisia_cana","ARCA","7/1/22","Late",12.8,10,8,2,71,"perennial","woody","C3",0.033,"0.0355","0.1136","0.009",1.148
"23","FK",2,"MG","Artemisia_cana","ARCA","7/1/22","Late",14.8,9,22,3,92,"perennial","woody","C3",0.029,"0.0254","0.1875","0.0085",0.854
"24","FK",2,"HG","Artemisia_cana","ARCA","7/1/22","Late",18.5,16,98,0,90,"perennial","woody","C3",0.03,"0.0319","0.9436","0.0107",1.24
"25","FK",3,"LG","Artemisia_cana","ARCA","7/1/22","Late",39,9,14,0,99,"perennial","woody","C3",0.036,"0.0191","0.0905","0.0061",0.622
"26","FK",3,"MG","Artemisia_cana","ARCA","7/1/22","Late",15.9,19,37,0,95,"perennial","woody","C3",0.036,"0.0284","0.2798","0.0076",1.009
"27","FK",3,"HG","Artemisia_cana","ARCA","7/1/22","Late",29.1,30,48,8,85,"perennial","woody","C3",0.053,"0.0202","0.4289","0.0055",0.606
"28","FK",1,"LG","Artemisia_dracunculus","ARDR","7/1/22","Late",32,45,27,6,86,"perennial","woody","C3",0.037,"0.0075","0.5248","0.0014",0.236
"29","FK",1,"MG","Artemisia_dracunculus","ARDR","7/1/22","Late",28.9,62,4,4,79,"perennial","woody","C3",0.036,"0.0058","0.3541","0.0005",0.199
"30","FK",1,"HG","Artemisia_dracunculus","ARDR","7/1/22","Late",10.6,114,83,6,74,"perennial","woody","C3",0.033,"0.0043","0.8274","0.0008",0.167
"31","FK",2,"LG","Artemisia_dracunculus","ARDR","7/1/22","Late",28,36,36,7,79,"perennial","woody","C3",0.042,"0.0054","0.1782","1e-05",0.26
"32","FK",2,"MG","Artemisia_dracunculus","ARDR","7/1/22","Late",16.2,36,20,4,72,"perennial","woody","C3",0.031,"0.0065","0.1009","0.0018",0.268
"33","FK",2,"HG","Artemisia_dracunculus","ARDR","7/1/22","Late",33.9,71,154,4,82,"perennial","woody","C3",0.04,"0.0107","0.8126","0.0031",0.394
"34","FK",3,"LG","Artemisia_dracunculus","ARDR","7/1/22","Late",27.9,67,23,3,75,"perennial","woody","C3",0.039,"0.0126","0.3582","0.0039",0.431
"35","FK",3,"MG","Artemisia_dracunculus","ARDR","7/1/22","Late",23.9,113,24,11,95,"perennial","woody","C3",0.039,"0.0074","0.4893","0.0014",0.257
"36","FK",3,"HG","Artemisia_dracunculus","ARDR","7/1/22","Late",20.9,189,22,6,96,"","","",0.037,"0.0052","0.4265","0.0013",0.179
"37","FK",1,"LG","Artemisia_frigida","ARFR","7/1/22","Late",6.2,8,55,4,90,"perennial","woody","C3",0.027,"0.0014","0.0582","0.0003",0.053
