"","Site","DxG_block","paddock","genus_species","species_code","Date","Season","height_cm","emerging_leaves","developed_leaves","scenesced_leaves","percent_green","lifespan","growth_form","photosynthetic_pathway","leaf_thickness_.mm.","wet_leaf_weight_g","Dry_Biomass_min_Leaf_g","Dry_Leaf_Weight_g","Leaf_Area"
"1","TB",1,"LG","Alyssum_desetorum","ALDE","5/24/22","Early",7.2,5,12,0,100,"annual","forb","C3",0.034,"0.001","0.0433","0.0003",0.06
"2","TB",1,"MG","Alyssum_desetorum","ALDE","5/25/22","Early",8,7,22,1,95,"annual","forb","C3",0.034,"0.0016","0.0142","1e-05",0.053
"3","TB",1,"HG","Alyssum_desetorum","ALDE","5/25/22","Early",9.2,5,7,2,95,"annual","forb","C3",0.042,"0.0013","0.026","0.0002",0.066
"4","TB",2,"LG","Alyssum_desetorum","ALDE","5/26/22","Early",5.7,2,4,2,99,"annual","forb","C3",0.036,"0.0031","0.0233","1e-05",0.088
"5","TB",2,"MG","Alyssum_desetorum","ALDE","5/26/22","Early",5.2,0,3,0,100,"annual","forb","C3",0.036,"0.0011","0.0087",NA,0.045
"6","TB",2,"HG","Alyssum_desetorum","ALDE","5/26/22","Early",2.4,0,22,1,97,"annual","forb","C3",0.063,"0.0034","0.087",NA,0.129
"7","TB",3,"LG","Alyssum_desetorum","ALDE","5/26/22","Early",7.3,8,10,0,98,"annual","forb","C3",0.055,"0.002","0.0333","0.0002",0.077
"8","TB",3,"MG","Alyssum_desetorum","ALDE","5/26/22","Early",5.7,0,5,0,99,"annual","forb","C3",0.034,"0.0007","0.0195","1e-05",0.03
"9","TB",3,"HG","Alyssum_desetorum","ALDE","5/26/22","Early",3.4,6,7,0,97,"annual","forb","C3",0.048,"0.0016","0.0164","1e-05",0.069
"10","TB",1,"LG","Allium_textile","ALTE","5/24/22","Early",6.1,0,2,0,85,"annual","forb","C3",0.045,"0.0398","0.0342","0.0066",1.001
"11","TB",1,"MG","Allium_textile","ALTE","5/25/22","Early",11,0,1,0,95,"annual","forb","C3",0.058,"0.2296","0.0639","0.0346",1.655
"12","TB",1,"HG","Allium_textile","ALTE","5/25/22","Early",7.8,0,2,0,95,"annual","forb","C3",0.062,"0.0702","0.0551","0.0145",3.547
"13","TB",2,"LG","Allium_textile","ALTE","5/26/22","Early",9.4,0,2,0,70,"annual","forb","C3",0.065,"0.712","0.0563","0.0103",1.414
"14","TB",2,"MG","Allium_textile","ALTE","5/26/22","Early",8.3,0,1,1,95,"annual","forb","C3",0.033,"0.0656","0.0247","0.0082",1.53
"15","TB",2,"HG","Allium_textile","ALTE","5/26/22","Early",6.8,0,1,0,98,"annual","forb","C3",0.09,"0.0564","0.0355","0.0064",1.206
"16","TB",3,"LG","Allium_textile","ALTE","5/26/22","Early",7.7,0,1,1,70,"annual","forb","C3",0.074,"0.0636","0.0551","0.0105",1.349
"17","TB",3,"MG","Allium_textile","ALTE","5/26/22","Early",4.5,0,1,0,80,"annual","forb","C3",0.078,"0.0495","0.0189","0.0064",1.058
"18","TB",3,"HG","Allium_textile","ALTE","5/26/22","Early",6.8,0,2,0,60,"annual","forb","C3",0.046,"0.0301","0.0348","0.0045",0.902
"19","TB",1,"LG","Antennaria_parvifolia","ANPA","5/24/22","Early",3.5,7,63,3,85,"perennial","forb","C3",0.047,"0.0161","0.3375","0.0035",0.611
"20","TB",1,"MG","Antennaria_parvifolia","ANPA","5/25/22","Early",1.9,9,39,1,95,"perennial","forb","C3",0.033,"0.0038","0.3022","0.001",0.38
"21","TB",1,"HG","Antennaria_parvifolia","ANPA","5/25/22","Early",1.8,6,79,0,90,"perennial","forb","C3",0.037,"0.0101","0.3741","0.0015",0.162
"22","TB",2,"LG","Antennaria_parvifolia","ANPA","5/26/22","Early",1.4,2,18,0,95,"perennial","forb","C3",0.043,"0.024","0.0832","0.0047",0.639
"23","TB",2,"MG","Antennaria_parvifolia","ANPA","5/26/22","Early",1.8,3,41,0,97,"perennial","forb","C3",0.024,"0.0166","0.2277","0.0024",0.551
"24","TB",2,"HG","Antennaria_parvifolia","ANPA","5/26/22","Early",3.8,8,23,6,95,"perennial","forb","C3",0.046,"0.0112","0.1611","0.0027",0.321
"25","TB",3,"LG","Antennaria_parvifolia","ANPA","5/26/22","Early",1.4,7,34,5,90,"perennial","forb","C3",0.033,"0.0133","0.1261","0.0033",0.479
"26","TB",3,"MG","Antennaria_parvifolia","ANPA","5/26/22","Early",1.1,0,13,0,98,"perennial","forb","C3",0.034,"0.0171","0.0327","0.0051",0.631
"27","TB",3,"HG","Antennaria_parvifolia","ANPA","5/26/22","Early",2,2,34,0,97,"perennial","forb","C3",0.054,"0.0172","0.1123","0.0035",0.643
"28","TB",1,"LG","Artemisia_frigida","ARFR","6/28/22","Late",14.8,1,23,23,85,"perennial","woody","C3",0.017,"0.0009","0.0148",NA,NA
"29","TB",1,"MG","Artemisia_frigida","ARFR","6/28/22","Late",11.2,13,28,0,99,"perennial","woody","C3",0.039,"0.0004","0.0494","1e-05",NA
"30","TB",1,"HG","Artemisia_frigida","ARFR","6/28/22","Late",25.5,12,60,3,95,"perennial","woody","C3",0.035,"0.0017","0.0626","0.002",NA
"31","TB",2,"LG","Artemisia_frigida","ARFR","6/29/22","Late",10.8,12,41,4,95,"perennial","woody","C3",0.03,"0.0015","0.41","0.0002",NA
"32","TB",2,"MG","Artemisia_frigida","ARFR","6/29/22","Late",12.9,16,44,1,95,"perennial","woody","C3",0.036,"0.0017","0.0567","0.0004",NA
"33","TB",2,"HG","Artemisia_frigida","ARFR","6/29/22","Late",14.1,6,47,0,98,"perennial","woody","C3",0.032,"0.0014","0.0434","0.0001",NA
"34","TB",3,"LG","Artemisia_frigida","ARFR","6/29/22","Late",NA,NA,NA,NA,NA,"perennial","woody","C3",NA,"",NA,NA,NA
"35","TB",3,"MG","Artemisia_frigida","ARFR","6/29/22","Late",NA,NA,NA,NA,NA,"perennial","woody","C3",NA,"",NA,NA,NA
"36","TB",3,"HG","Aartemisia_frigida","ARFR","6/29/22","Late",NA,NA,NA,NA,NA,"perennial","woody","C3",0.052,"0.00141",NA,NA,NA
"37","TB",1,"LG","Aristida_purpurea","ARPU","6/28/22","Late",11.1,1,4,2,95,"perennial","graminoid","C4",0.017,"0.0051","0.0153","0.0012",NA
"38","TB",1,"MG","Aristida_purpurea","ARPU","6/28/22","Late",18.5,0,2,0,100,"perennial","graminoid","C4",0.02,"0.0055","0.0223","0.002",NA
"39","TB",1,"HG","Aristida_purpurea","ARPU","6/28/22","Late",24.1,0,3,0,99,"perennial","graminoid","C4",0.018,"0.0086","0.0064","0.0029",NA
"40","TB",2,"LG","Aristida_purpurea","ARPU","6/29/22","Late",21.9,1,4,0,99,"perennial","graminoid","C4",0.024,"0.0081","0.0138","0.0025",NA
"41","TB",2,"MG","Aristida_purpurea","ARPU","6/29/22","Late",26.5,2,3,0,60,"perennial","graminoid","C4",0.026,"0.026","0.0187","0.0099",NA
"42","TB",2,"HG","Aristida_purpurea","ARPU","6/29/22","Late",31.6,1,1,0,100,"perennial","graminoid","C4",0.019,"0.0185","0.0104","0.0075",NA
"43","TB",3,"LG","Aristida_purpurea","ARPU","6/29/22","Late",NA,NA,NA,NA,NA,"perennial","graminoid","C4",NA,"",NA,NA,NA
"44","TB",3,"MG","Aristida_purpurea","ARPU","6/29/22","Late",NA,NA,NA,NA,NA,"perennial","graminoid","C4",NA,"",NA,NA,NA
"45","TB",3,"HG","Aristida_purpurea","ARPU","6/29/22","Late",NA,NA,NA,NA,NA,"perennial","graminoid","C4",NA,"",NA,NA,NA
"46","TB",1,"LG","Artemisia_tridentata","ARTR","6/28/22","Late",29.9,12,15,2,90,"perennial","woody","C3",0.023,"0.0101","0.0429","0.0022",NA
"47","TB",1,"MG","Artemisia_tridentata","ARTR","6/28/22","Late",29,12,29,0,98,"perennial","woody","C3",0.042,"0.0173","0.0572","0.0042",NA
"48","TB",1,"HG","Artemisia_tridentata","ARTR","6/28/22","Late",27.8,5,21,0,100,"perennial","woody","C3",0.045,"0.0281","0.081","0.0079",NA
"49","TB",2,"LG","Artemisia_tridentata","ARTR","6/29/22","Late",37.6,9,18,0,85,"perennial","woody","C3",0.037,"0.0082","0.0121","0.0012",NA
"50","TB",2,"MG","Artemisia_tridentata","ARTR","6/29/22","Late",21.6,5,10,0,98,"perennial","woody","C3",0.049,"0.0186","0.0295","0.0043",NA
"51","TB",2,"HG","Artemisia_tridentata","ARTR","6/29/22","Late",22.3,12,16,0,100,"perennial","woody","C3",0.049,"0.0082","0.0345","0.0033",NA
"52","TB",3,"LG","Artemisia_tridentata","ARTR","6/29/22","Late",11,10,7,0,98,"perennial","woody","C3",0.047,"0.0149","0.0231","0.0037",NA
"53","TB",3,"MG","Artemisia_tridentata","ARTR","6/29/22","Late",15,9,6,0,90,"perennial","woody","C3",0.045,"0.0123","0.0309","0.0033",NA
"54","TB",3,"HG","Artemisia_tridentata","ARTR","6/29/22","Late",12.5,10,10,0,90,"perennial","woody","C3",0.028,"0.0104","0.0511","0.0053",NA
"55","TB",1,"LG","Astragalus_bisulcatus","ASBI","5/24/22","Early",17.4,1,7,0,97,"perennial","woody","C3",0.029,"0.3478","0.6494","0.0764",11.708
"56","TB",1,"MG","Astragalus_bisulcatus","ASBI","5/25/22","Early",18.1,4,8,0,97,"perennial","woody","C3",0.037,"0.3849","0.6915",NA,15.196
"57","TB",1,"HG","Astragalus_bisulcatus","ASBI","5/25/22","Early",13,2,6,1,96,"perennial","woody","C3",0.03,"0.4425","0.619","0.1117",13.418
"58","TB",2,"LG","Astragalus_bisulcatus","ASBI","5/26/22","Early",12.1,1,8,1,90,"perennial","woody","C3",0.03,"0.5232","0.669","0.103",18.064
"59","TB",2,"MG","Astragalus_bisulcatus","ASBI","5/26/22","Early",11.2,1,6,0,97,"perennial","woody","C3",0.025,"0.2155","0.3255","0.0377",7.186
"60","TB",2,"HG","Astragalus_bisulcatus","ASBI","5/26/22","Early",10.6,1,5,1,97,"perennial","woody","C3",0.038,"0.3622","0.4461","0.0839",11.407
"61","TB",3,"LG","Astragalus_bisulcatus","ASBI","5/26/22","Early",11.4,1,8,0,98,"perennial","woody","C3",0.039,"0.3446","0.4939","0.0743",11.605
"62","TB",3,"MG","Astragalus_bisulcatus","ASBI","5/26/22","Early",18.6,2,8,0,99,"perennial","woody","C3",0.027,"0.283","1.1747","0.0683",12.157
"63","TB",3,"HG","Astragalus_bisulcatus","ASBI","5/26/22","Early",15.1,2,9,0,98,"perennial","woody","C3",0.03,"0.5037","1.085","0.1291",NA
"64","TB",1,"LG","Bouteloua_gracilis","BOGR","6/28/22","Late",3.2,1,4,0,95,"perennial","graminoid","C4",0.018,"0.0084","0.0099","0.0017",NA
"65","TB",1,"MG","Bouteloua_gracilis","BOGR","6/28/22","Late",8.1,1,4,0,98,"perennial","graminoid","C4",0.027,"0.0107","0.0164","0.0029",NA
"66","TB",1,"HG","Bouteloua_gracilis","BOGR","6/28/22","Late",9.2,1,4,0,97,"perennial","graminoid","C4",0.028,"0.0247","0.0346","0.009",NA
"67","TB",2,"LG","Bouteloua_gracilis","BOGR","6/29/22","Late",5.1,1,2,0,90,"perennial","graminoid","C4",0.028,"0.0057","0.0055","0.0017",NA
"68","TB",2,"MG","Bouteloua_gracilis","BOGR","6/29/22","Late",8.6,1,4,0,97,"perennial","graminoid","C4",0.026,"0.0089","0.0171","0.0034",NA
"69","TB",2,"HG","Bouteloua_gracilis","BOGR","6/29/22","Late",5.5,1,2,0,99,"perennial","graminoid","C4",0.026,"0.009","0.005","0.0015",NA
"70","TB",3,"LG","Bouteloua_gracilis","BOGR","6/29/22","Late",4.1,1,3,0,97,"perennial","graminoid","C4",0.024,"0.0091","0.0112","0.0028",NA
"71","TB",3,"MG","Bouteloua_gracilis","BOGR","6/29/22","Late",10.1,1,3,0,80,"perennial","graminoid","C4",0.019,"0.0127","0.0207","0.0047",NA
"72","TB",3,"HG","Bouteloua_gracilis","BOGR","6/29/22","Late",9.3,1,2,1,75,"perennial","graminoid","C4",0.041,"0.0064","0.0128","0.0036",NA
"73","TB",1,"LG","Bromus_arvensis","BRAR","5/24/22","Early",9.6,1,3,1,95,"annual","graminoid","C3",0.027,"0.0169","0.0358","0.0056",0.933
"74","TB",1,"MG","Bromus_arvensis","BRAR","5/25/22","Early",5.8,1,3,0,100,"annual","graminoid","C3",0.038,"0.0049","0.0075","0.0004",0.351
"75","TB",1,"HG","Bromus_arvensis","BRAR","5/25/22","Early",9.3,1,7,2,90,"annual","graminoid","C3",0.027,"0.0168","0.0309","0.0047",1.074
"76","TB",2,"LG","Bromus_arvensis","BRAR","5/26/22","Early",10.6,1,3,1,98,"annual","graminoid","C3",0.03,"0.0234","0.0301","0.0052",1.351
"77","TB",2,"MG","Bromus_arvensis","BRAR","5/26/22","Early",10.6,1,3,1,95,"annual","graminoid","C3",0.03,"0.0202","0.0224","0.0043",1.431
"78","TB",2,"HG","Bromus_arvensis","BRAR","5/26/22","Early",5.2,1,3,0,90,"annual","graminoid","C3",0.024,"0.0048","0.0072","0.0011",0.438
"79","TB",3,"LG","Bromus_arvensis","BRAR","5/26/22","Early",7,1,3,4,85,"annual","graminoid","C3",0.022,"0.0129","0.0178","0.0032",0.81
"80","TB",3,"LG","Bromus_arvensis","BRAR","5/26/22","Early",7,1,3,4,85,"annual","graminoid","C3",0.022,"0.0129","0.0184","0.0032",0.81
"81","TB",3,"MG","Bromus_arvensis","BRAR","5/26/22","Early",6.5,0,3,3,90,"annual","graminoid","C3",0.037,"0.0055","0.0104","0.0005",0.483
"82","TB",3,"HG","Bromus_arvensis","BRAR","5/26/22","Early",7.9,1,3,4,85,"annual","graminoid","C3",0.034,"0.0064",NA,"0.0003",0.551
"83","TB",1,"LG","Bromus_tectorum","BRTE","5/24/22","Early",14.2,1,4,0,100,"annual","graminoid","C3",0.023,"0.0282","0.0593","0.0075",1.641
"84","TB",1,"MG","Bromus_tectorum","BRTE","5/25/22","Early",18.9,1,5,0,95,"annual","graminoid","C3",0.047,"0.0594","0.1028","0.0111",2.61
"85","TB",1,"HG","Bromus_tectorum","BRTE","5/25/22","Early",16.4,0,4,1,95,"annual","graminoid","C3",0.038,"0.0406","0.2173",NA,3.463
"86","TB",2,"LG","Bromus_tectorum","BRTE","5/26/22","Early",8.7,1,4,0,85,"annual","graminoid","C3",0.028,"0.0172","0.0255","0.0044",1.091
"87","TB",2,"MG","Bromus_tectorum","BRTE","5/26/22","Early",10.6,0,4,3,90,"annual","graminoid","C3",0.026,"0.0022","0.0311","0.0004",0.186
"88","TB",2,"HG","Bromus_tectorum","BRTE","5/26/22","Early",19.1,0,3,2,70,"annual","graminoid","C3",0.036,"0.0206","0.1859","0.006",1.608
"89","TB",3,"LG","Bromus_tectorum","BRTE","5/26/22","Early",7.6,2,6,0,97,"annual","graminoid","C3",NA,"",NA,NA,NA
"90","TB",3,"MG","Bromus_tectorum","BRTE","5/26/22","Early",11.2,0,6,3,95,"annual","graminoid","C3",0.023,"0.0062","0.0656","0.002",0.629
"91","TB",3,"HG","Bromus_tectorum","BRTE","5/26/22","Early",7.1,0,5,1,97,"annual","graminoid","C3",0.029,"0.0007",NA,"1e-05",0.079
"92","TB",1,"LG","Carex_duriuscula","CADU","5/24/22","Early",8.9,1,2,0,98,"perennial","graminoid","C3",0.026,"0.015","0.0103","0.0059",0.667
"93","TB",1,"MG","Carex_duriuscula","CADU","5/25/22","Early",4.8,1,4,0,95,"perennial","graminoid","C3",0.034,"0.0083","0.0062","0.0031",0.309
"94","TB",1,"HG","Carex_duriuscula","CADU","5/25/22","Early",6,1,2,0,98,"perennial","graminoid","C3",0.037,"0.0089","0.0042","0.0031",0.376
"95","TB",2,"LG","Carex_duriuscula","CADU","5/26/22","Early",8.3,1,2,0,60,"perennial","graminoid","C3",0.061,"0.0097","0.004","0.0034",0.283
"96","TB",2,"MG","Carex_duriuscula","CADU","5/26/22","Early",4.6,0,2,0,95,"perennial","graminoid","C3",0.033,"0.016","0.0373","0.0045",0.821
