"","year","site","plot","aerial_basal","Genus_Species","Relative_Cover"
"1",2018,"TB","8","Aerial","Aristida.purpurea",1.45985401459854
"2",2018,"TB","8","Basal","Aristida.purpurea",1.06382978723404
"3",2018,"TB","9","Aerial","Aristida.purpurea",11.7647058823529
"4",2018,"TB","9","Basal","Aristida.purpurea",14.4578313253012
"5",2018,"TB","36","Aerial","Aristida.purpurea",7.07964601769912
"6",2018,"TB","36","Basal","Aristida.purpurea",7.31707317073171
"7",2018,"TB","1","Aerial","Aristida.purpurea",12.6582278481013
"8",2018,"TB","1","Basal","Aristida.purpurea",7.27272727272727
"9",2018,"TB","30","Aerial","Aristida.purpurea",5.26315789473684
"10",2018,"TB","30","Basal","Aristida.purpurea",5.55555555555556
"11",2018,"TB","4","Aerial","Aristida.purpurea",5.59440559440559
"12",2018,"TB","4","Basal","Aristida.purpurea",6.06060606060606
"13",2018,"TB","27","Aerial","Aristida.purpurea",16.8674698795181
"14",2018,"TB","27","Basal","Aristida.purpurea",23.5294117647059
"15",2018,"TB","29","Aerial","Aristida.purpurea",3.2
"16",2018,"TB","29","Basal","Aristida.purpurea",4.76190476190476
"17",2018,"TB","22","Aerial","Aristida.purpurea",3.38983050847458
"18",2018,"TB","22","Basal","Aristida.purpurea",4.49438202247191
"19",2018,"TB","16","Aerial","Bouteloua.gracilis",5.92592592592593
"20",2018,"TB","16","Basal","Bouteloua.gracilis",5.40540540540541
"21",2018,"TB","14","Aerial","Bouteloua.gracilis",6.77966101694915
"22",2018,"TB","14","Basal","Bouteloua.gracilis",7.89473684210526
"23",2018,"TB","17","Aerial","Bouteloua.gracilis",2.7027027027027
"24",2018,"TB","17","Basal","Bouteloua.gracilis",2.63157894736842
"25",2018,"TB","18","Aerial","Bouteloua.gracilis",11.2903225806452
"26",2018,"TB","18","Basal","Bouteloua.gracilis",12.987012987013
"27",2018,"TB","44","Aerial","Bouteloua.gracilis",43.75
"28",2018,"TB","44","Basal","Bouteloua.gracilis",60
"29",2018,"TB","19","Aerial","Bouteloua.gracilis",4.12371134020619
"30",2018,"TB","19","Basal","Bouteloua.gracilis",6.15384615384615
"31",2018,"TB","3","Aerial","Bouteloua.gracilis",18.4615384615385
"32",2018,"TB","3","Basal","Bouteloua.gracilis",23.0088495575221
"33",2018,"TB","7","Aerial","Bouteloua.gracilis",52.0833333333333
"34",2018,"TB","7","Basal","Bouteloua.gracilis",68.7022900763359
"35",2018,"TB","12","Aerial","Bouteloua.gracilis",48.2758620689655
"36",2018,"TB","12","Basal","Bouteloua.gracilis",57.5
"37",2018,"TB","6","Aerial","Bouteloua.gracilis",1.04712041884817
"38",2018,"TB","6","Basal","Bouteloua.gracilis",1.19047619047619
"39",2018,"TB","8","Aerial","Bouteloua.gracilis",70.0729927007299
"40",2018,"TB","8","Basal","Bouteloua.gracilis",80.8510638297872
"41",2018,"TB","10","Aerial","Bouteloua.gracilis",38.8349514563107
"42",2018,"TB","10","Basal","Bouteloua.gracilis",47.6190476190476
"43",2018,"TB","9","Aerial","Bouteloua.gracilis",58.8235294117647
"44",2018,"TB","9","Basal","Bouteloua.gracilis",60.2409638554217
"45",2018,"TB","11","Aerial","Bouteloua.gracilis",60.6060606060606
"46",2018,"TB","11","Basal","Bouteloua.gracilis",72.5806451612903
"47",2018,"TB","34","Aerial","Bouteloua.gracilis",67.9012345679012
"48",2018,"TB","34","Basal","Bouteloua.gracilis",79.3650793650794
"49",2018,"TB","36","Aerial","Bouteloua.gracilis",42.4778761061947
"50",2018,"TB","36","Basal","Bouteloua.gracilis",48.780487804878
"51",2018,"TB","1","Aerial","Bouteloua.gracilis",30.379746835443
"52",2018,"TB","1","Basal","Bouteloua.gracilis",36.3636363636364
