Year,site,genus_species,species_code,block,plant,percent_green,emerging_leaves,developed_leaves,height_cm,scenesced_leaves,leaf_area_cm,leaf_thickness_mm,wet_weight_g,biomass_mg,leaf_mg,comments
2021,TB,Pascopyrum_smithii,PASM,1,MG,65,1,2,25.7,1,5.75,0.045,0.111,0.1142,0.0434,
2020,FK,Sphaeralcea_coccinea,SPCO,2,1,99,2,14,16.1,0,4.952,,0.137,0.5825,0.0443,
2019,TB,Koeleria_macrantha,KOMA,1,1,90,1,3,24.1,1,4.792,0.042,0.114,0.1154,0.0357,
2022,FK,Sphaeralcea_coccinea,SPCO,2,MG,90,6,21,10.7,2,4.76,0.033,0.1475,0.9034,0.0557,froze then thawed
2021,TB,Pascopyrum_smithii,PASM,1,LG,80,1,4,15.3,2,4.52,0.043,0.0996,0.1011,0.0358,
2020,TB,Pascopyrum_smithii,PASM,2,2,90,1,2,20.5,1,4.49,,0.1176,0.1214,0.0619,
2022,FK,Sphaeralcea_coccinea,SPCO,2,LG,80,4,13,10.1,0,4.32,0.034,0.1661,0.5168,0.0448,
2019,TB,Vicia_americana,VIAM,3,9,100,3,12,32,1,4.291,0.02,0.083,0.5413,0.0273,
2021,FK,Tragopogon_dubius,TRDU,3,HG,80,0,19,22.6,8,4.12,0.036,0.1016,0.1631,0.0294,
2022,FK,Sphaeralcea_coccinea,SPCO,3,LG,90,1,7,7.6,2,3.91,0.038,0.1116,0.3675,0.0425,
2020,TB,Pascopyrum_smithii,PASM,2,1,70,1,3,21.3,0,3.886,,0.1051,0.1561,0.0473,
2021,TB,Pascopyrum_smithii,PASM,2,MG,70,1,3,23.4,1,3.83,0.04,0.0945,0.1275,0.0391,
2019,TB,Vicia_americana,VIAM,3,7,98,0,11,28.5,0,3.782,0.023,0.077,0.3014,0.0217,
2022,TB,Pascopyrum_smithii,PASM,1,LG,75,1,2,14.1,2,3.65,0.039,0.0384,0.0675,0.0137,
2020,FK,Hesperostipa_comata,HECO,1,3,75,1,1,36.6,3,3.626,,0.0692,0.0305,0.035,
2021,TB,Pascopyrum_smithii,PASM,1,HG,70,1,1,17.2,1,3.56,0.04,0.0594,0.0377,0.021,
2019,TB,Pascopyrum_smithii,PASM,2,5,97,1,4,31.5,1,3.509,0.044,0.109,0.2301,0.0435,
2022,TB,Pascopyrum_smithii,PASM,2,MG,90,1,3,25,0,3.49,0.039,0.0952,0.1345,0.0366,
2022,FK,Sphaeralcea_coccinea,SPCO,1,MG,85,4,6,7.7,0,3.46,0.036,0.1322,0.21,0.0368,
2022,FK,Tragopogon_dubius,TRDU,3,MG,75,0,12,28.9,1,3.41,0.036,0.0702,2.6377,0.0143,
2022,FK,Sphaeralcea_coccinea,SPCO,3,MG,90,3,4,7.8,1,3.39,0.076,0.1043,0.3688,0.038,
2021,FK,Tragopogon_dubius,TRDU,2,LG,73,0,3,11.1,0,3.355,0.039,0.0153,0.013,0.0157,
2022,TB,Vicia_americana,VIAM,1,HG,99,3,30,11.8,0,3.33,0.028,0.0919,0.8052,0.0245,"biomass and leaf labels were switched- fixed, SG"
2020,TB,Pascopyrum_smithii,PASM,3,2,60,0,2,16.1,0,3.272,,0.0935,0.0432,0.0533,
2022,FK,Hesperostipa_comata,HECO,3,HG,90,0,1,22.4,2,3.26,0.031,0.0646,0.0255,0.0321,
2022,TB,Pascopyrum_smithii,PASM,2,HG,75,1,4,18.8,0,3.24,0.042,0.0898,0.1667,0.0353,
2020,FK,Hesperostipa_comata,HECO,3,2,70,0,2,17.1,1,3.223,,0.067,0.0093,0.035,
2020,FK,Sphaeralcea_coccinea,SPCO,1,1,99,2,6,12.2,0,3.221,,0.0958,0.2612,0.0383,
2019,TB,Pascopyrum_smithii,PASM,3,9,85,1,3,20.5,1,3.193,0.032,0.069,0.1045,0.0259,
2020,FK,Hesperostipa_comata,HECO,1,1,90,0,3,39.7,0,3.172,,0.0647,0.0345,0.0314,29 m to weigh
2022,TB,Vicia_americana,VIAM,3,LG,75,0,8,10.9,1,3.16,0.035,0.0892,0.0879,0.018,
2022,TB,Pascopyrum_smithii,PASM,1,HG,95,1,4,29.5,0,3.12,0.045,0.1152,0.2248,0.0415,
2021,TB,Pascopyrum_smithii,PASM,2,HG,80,1,2,15.8,2,3.07,0.048,0.0834,0.0871,0.0337,
2022,FK,Tragopogon_dubius,TRDU,1,LG,97,0,15,21.3,3,3.06,0.05,0.0624,0.5783,0.0128,
2019,FK,Tragopogon_dubius,TRDU,2,1,90,2,13,41.7,4,3.04,0.02,0.049,1.2475,0.0155,
2019,TB,Koeleria_macrantha,KOMA,2,5,100,1,2,16.6,0,3.036,0.04,0.103,0.0699,0.0473,
2020,TB,Pascopyrum_smithii,PASM,3,3,75,1,2,22,0,3.006,,0.0621,0.045,0.0302,
2021,TB,Pascopyrum_smithii,PASM,2,LG,90,1,3,17,0,2.98,0.042,0.0611,0.0567,0.0347,
2022,FK,Sphaeralcea_coccinea,SPCO,1,LG,99,6,11,12.4,0,2.96,0.034,0.1037,0.4962,0.0296,
2021,FK,Koeleria_macrantha,KOMA,2,LG,95,0,3,15.9,0,2.944,0.036,0.0489,0.0271,0.0209,
2019,TB,Vicia_americana,VIAM,3,8,95,1,11,16.8,1,2.943,0.03,0.054,0.1881,0.0173,
2019,FK,Hesperostipa_comata,HECO,1,3,90,1,2,22.5,1,2.92,0.024,0.08,0.0319,0.0397,
2022,TB,Vicia_americana,VIAM,3,MG,75,1,8,8.6,1,2.81,0.037,0.058,0.0847,0.014,
2020,FK,Hesperostipa_comata,HECO,3,3,60,1,2,35.1,0,2.793,,0.0683,0.0218,0.0354,
2019,TB,Vicia_americana,VIAM,2,4,100,2,7,26.8,2,2.742,0.026,0.066,0.4098,0.0212,
2020,FK,Tragopogon_dubius,TRDU,2,2,80,9,13,30.1,7,2.728,,0.0563,0.9254,0.0145,
2022,TB,Vicia_americana,VIAM,1,MG,99,1,11,7.2,0,2.72,0.037,0.0625,0.1808,0.0149,
2022,TB,Vicia_americana,VIAM,3,HG,95,0,6,9.2,1,2.59,0.047,0.0596,0.0901,0.0153,
2022,FK,Koeleria_macrantha,KOMA,1,HG,99,1,3,12,0,2.53,0.037,0.0655,0.0498,0.0261,
2022,FK,Sphaeralcea_coccinea,SPCO,1,HG,93,9,17,14.9,0,2.51,0.036,0.0995,0.6001,0.0278,
2019,TB,Pascopyrum_smithii,PASM,3,7,80,1,4,24.7,1,2.503,0.024,0.051,0.1221,0.0219,
2019,TB,Vicia_americana,VIAM,2,5,100,2,6,20.9,0,2.485,0.02,0.052,0.2209,0.018,
2020,TB,Pascopyrum_smithii,PASM,1,2,98,0,3,23,0,2.478,,0.0581,0.0749,0.0276,
2019,TB,Vicia_americana,VIAM,1,3,95,3,13,53,2,2.456,0.019,0.054,0.6737,0.0116,
2020,FK,Tragopogon_dubius,TRDU,3,2,55,0,10,38.5,13,2.454,,0.0396,1.1446,0.0089,
2022,FK,Hesperostipa_comata,HECO,2,MG,65,1,2,24.2,3,2.4,0.028,0.0554,0.0186,0.0273,
2020,TB,Pascopyrum_smithii,PASM,1,1,95,0,3,20.6,1,2.37,,0.0581,0.1046,0.0267,
2020,TB,Pascopyrum_smithii,PASM,3,1,95,0,2,16.5,1,2.37,,0.0464,0.0453,0.019,
2021,TB,Pascopyrum_smithii,PASM,3,HG,85,0,2,16.5,1,2.34,0.034,0.0514,0.0362,0.0194,
2019,TB,Pascopyrum_smithii,PASM,3,8,90,1,4,22.7,1,2.328,0.029,0.051,0.1194,0.0203,
